pathway	pval	padj	ES	NES	nMoreExtreme	size
GIBBONS_GENETIC_MOUSE_MODEL_LUNG_ADENOCARCINOMA_UP_IN_METASTASIS	0.0710059171597633	0.162379321083775	0.385730229591837	1.49272383496125	35	10
GIBBONS_GENETIC_MOUSE_MODEL_LUNG_ADENOCARCINOMA_DOWN_IN_METASTASIS	0.427402862985685	0.541418495531429	-0.31752736159813	-0.993505749172272	208	6
LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_KINASES_DN	0.848303393213573	0.894630641629363	-0.118249350306891	-0.682951290609812	424	23
HEVNER_TELENCEPHALON_CHOROID_PLEXUS_EPITHELIAL_CELLS	0.16370808678501	0.277314478394101	0.295044561530488	1.29877865369361	82	13
HEVNER_CORTEX_APICAL_AND_BASAL_INTERMEDIATE_PROGENITOR_CELLS	0.00412371134020619	0.0197859744990893	-0.295442221326177	-2.35880535563451	1	46
HEVNER_CORTEX_APICAL_INTERMEDIATE_PROGENITOR_CELLS	0.741414141414141	0.813496071829405	-0.204320790816327	-0.797707008648806	366	10
HEVNER_CORTEX_BASAL_INTERMEDIATE_PROGENITOR_CELLS	0.576200417536534	0.683107998416437	-0.121503426657242	-0.896445649671175	275	39
HEVNER_CORTEX_INTERNEURON_PRECURSOR_CELLS	0.0809716599190283	0.172461697229499	-0.520232687863575	-1.4749560033872	39	5
HEVNER_TELENCEPHALON_VASCULAR_ENDOTHELIUM_AND_MENINGEAL_CELLS	0.120724346076459	0.225611734925683	0.30409655209081	1.41875497884486	59	15
HEVNER_TELENCEPHALON_MENINGEAL_CELLS	0.00201612903225806	0.0111521778188445	0.504104120089428	3.33865941097943	0	30
HEVNER_TELENCEPHALON_MICROGLIA	0.376278118609407	0.496184651094954	-0.336149187121454	-1.05177124989759	183	6
HEVNER_CORTEX_NEURAL_STEM_AND_PROGENITOR_CELLS	0.429447852760736	0.542427593094593	-0.316385081287855	-0.989931688500106	209	6
HEVNER_CORTEX_NEURAL_STEM_CELLS	0.0552268244575937	0.135570933484884	0.398804209183674	1.54331836828362	27	10
HEVNER_CORTICAL_PLATE_POSTMITOTIC_NEURONS	0.641176470588235	0.733134674922601	0.0829757236458102	0.867458692216085	326	78
HEVNER_INTERMEDIATE_ZONE_AND_UP_POSTMITOTIC_NEURONS	0.133474576271186	0.243675224327019	-0.173038079249607	-1.35910073870076	62	45
HEVNER_SUBVENTRICULAR_ZONE_AND_UP_NEURON_FATE_COMMITTED_CELLS	0.397233201581028	0.51368400621118	-0.162703375523684	-1.00841032123371	200	27
HEVNER_VENTRICULAR_ZONE_AND_UP_NEURON_FATE_COMMITTED_CELLS	0.669980119284294	0.759077866568516	-0.206475179926507	-0.844869355188316	336	11
HEVNER_CORTICAL_PLATE_POSTMITOTIC_PROJECTION_NEURONS	0.731075697211155	0.804183266932271	-0.07190486378548	-0.784769559221889	366	90
HEVNER_INTERMEDIATE_ZONE_AND_UP_POSTMITOTIC_PROJECTION_NEURONS	0.88454011741683	0.921661105557824	0.0943457373363915	0.674424082238006	451	35
HEVNER_SUBVENTRICULAR_ZONE_AND_UP_PROJECTION_NEURON_FATE_COMMITTED_CELLS	0.813121272365805	0.870199982371779	-0.179767055873251	-0.735583214572305	408	11
HEVNER_VENTRICULAR_ZONE_AND_UP_PROJECTION_NEURON_FATE_COMMITTED_CELLS	0.872047244094488	0.913022957973627	0.237166308072356	0.663214079922363	442	5
HEVNER_CORTEX_RADIAL_GLIA_PROGENITORS	0.00202020202020202	0.0111521778188445	0.234260676333515	5.26522114262142	0	380
HEVNER_CORTEX_VASCULAR_ENDOTHELIAL_CELLS	0.959919839679359	0.970127187485494	0.10565364348246	0.559510488030499	478	19
HEVNER_CORTEX_COMMITTED_TO_CALLOSAL_PROJECTION_NEURON_FATE	0.498993963782696	0.614200785449239	0.205056224579313	0.956684768586767	247	15
HEVNER_CORTEX_COMMITTED_TO_CORTICOTHALAMIC_PROJECTION_NEURON_FATE	0.122244488977956	0.227962362493227	0.333601501743095	1.35255753310652	60	11
HEVNER_CORTEX_COMMITTED_TO_SUBCEREBRAL_PROJECTION_NEURON_FATE	0.0368098159509202	0.101226993865031	-0.550154075018595	-1.72136736094351	17	6
HEVNER_CORTEX_G1_S_PHASE	0.295275590551181	0.417906332555336	0.401386564666507	1.12244113989952	149	5
HEVNER_CORTEX_PROLIFERATING_CELLS	0.0020703933747412	0.0111521778188445	0.580589033442414	3.50494594059321	0	25
HEVNER_CORTEX_QUIESCENCE	0.0144329896907217	0.0503705543824784	-0.494964793410389	-1.82269665659263	6	9
HEVNER_CORTEX_S_PHASE	0.0116959064327485	0.0434782608695652	0.641669323132505	1.93928385164714	5	6
HEVNER_CORTEX_CAUDAL_CORTICAL_PLATE	0.0400801603206413	0.1081666438467	0.399317257724337	1.61899620419101	19	11
HEVNER_CORTEX_CAUDAL_INTERMEDIATE_ZONE	0.125984251968504	0.233237191042743	0.50214359709937	1.4041990468459	63	5
HEVNER_CORTEX_CAUDAL_SUBVENTRICULAR_ZONE	0.821073558648111	0.876551501800011	-0.119234453286177	-0.730541793215579	412	26
HEVNER_CORTEX_CAUDAL_VENTRICULAR_ZONE	0.904109589041096	0.9314622727666	0.0921137014594958	0.658468525682966	461	35
HEVNER_CORTEX_CORTICAL_HEM	0.309197651663405	0.430597370665864	0.326458632233381	1.14256235641615	157	8
HEVNER_CORTEX_ROSTRAL_CORTICAL_PLATE	0.308151093439364	0.429828732261328	-0.211617995927193	-1.10900144503141	154	19
HEVNER_CORTEX_ROSTRAL_INTERMEDIATE_ZONE	0.289370078740157	0.412910670648927	0.404972507769543	1.1324689046991	146	5
HEVNER_CORTEX_ROSTRAL_SUBVENTRICULAR_ZONE	0.57606490872211	0.683107998416437	-0.266495121201426	-0.890231875764986	283	7
HEVNER_CORTEX_ROSTRAL_VENTRICULAR_ZONE	0.0445344129554656	0.115179776363987	0.32218322342764	1.6452256823231	21	18
JARDIM_PERASSI_TRIPLE_NEGATIVE_BREAST_CANCER_MOUSE_XENOGRAFT_MELATONIN_UP	0.590551181102362	0.693198271293307	0.182046578401659	0.88176533270954	299	16
JARDIM_PERASSI_TRIPLE_NEGATIVE_BREAST_CANCER_MOUSE_XENOGRAFT_MELATONIN_DN	0.0157790927021696	0.0541977531944087	0.494929846938776	1.91531158950386	7	10
LAZARO_GENETIC_MOUSE_MODEL_HIGH_GRADE_LARGE_CELL_NEUROENDOCRINE_LUNG_CARCINOMA_UP	0.00200803212851406	0.0111521778188445	0.358861661805677	7.71737094554319	0	345
LAZARO_GENETIC_MOUSE_MODEL_HIGH_GRADE_LARGE_CELL_NEUROENDOCRINE_LUNG_CARCINOMA_DN	0.00201612903225806	0.0111521778188445	-0.134327999836521	-2.75277458436224	0	320
LAZARO_GENETIC_MOUSE_MODEL_HIGH_GRADE_SMALL_CELL_NEUROENDOCRINE_LUNG_CARCINOMA_UP	0.002	0.0111521778188445	0.21004938682648	5.63346015298222	0	540
LAZARO_GENETIC_MOUSE_MODEL_HIGH_GRADE_SMALL_CELL_NEUROENDOCRINE_LUNG_CARCINOMA_DN	0.00200400801603206	0.0111521778188445	-0.0753759733670432	-2.92308951381628	0	1243
ZEMEK_IMMUNE_CHECKPOINT_BLOCKADE_OVARIAN_CANCER_RENCA_UP	0.00206185567010309	0.0111521778188445	-0.375693469223175	-2.99952986848875	0	46
ZEMEK_IMMUNE_CHECKPOINT_BLOCKADE_OVARIAN_CANCER_RENCA_DN	0.990253411306043	0.994832617832314	0.161699075549888	0.488694713515883	507	6
ZEMEK_IMMUNE_CHECKPOINT_BLOCKADE_OVARIAN_CANCER_OVERLAP_UP	0.00211416490486258	0.0112024957458877	-0.396457379550905	-3.09387200953489	0	44
LANDIS_BREAST_CANCER_PROGRESSION_UP	0.0846456692913386	0.175553906000413	-0.210919000187935	-1.47458525142899	42	34
