pathway	pval	padj	ES	NES	nMoreExtreme	size
BIOCARTA_RELA_PATHWAY	0.279843444227006	0.76649016790347	-0.2409655209081	-1.14819320499033	142	15
BIOCARTA_CSK_PATHWAY	0.577319587628866	0.839002267573696	-0.235126876577654	-0.878849496483028	279	9
BIOCARTA_SRCRPTP_PATHWAY	0.0688336520076482	0.458891013384321	0.382573341836735	1.53121584287782	35	10
BIOCARTA_ARAP_PATHWAY	0.025440313111546	0.396396396396396	0.416168380770151	1.74715701121015	12	11
BIOCARTA_AGR_PATHWAY	0.580851063829787	0.839002267573696	-0.145053541605266	-0.897295073470341	272	26
BIOCARTA_AKAP95_PATHWAY	0.173996175908222	0.588910133843212	0.326642219387755	1.30735648981195	90	10
BIOCARTA_AKT_PATHWAY	0.337423312883436	0.76649016790347	-0.207163101211345	-1.09460575487618	164	19
BIOCARTA_AT1R_PATHWAY	0.523452157598499	0.830357142857143	0.155925778132482	0.936825138352271	278	24
BIOCARTA_ACE2_PATHWAY	0.138401559454191	0.574497039243812	0.46521635190055	1.3059207827304	70	5
BIOCARTA_DNAFRAGMENT_PATHWAY	0.957446808510638	0.993576876756323	0.152349320224968	0.575935420493354	494	9
BIOCARTA_CHEMICAL_PATHWAY	0.901574803149606	0.967543691184943	0.128474438062823	0.663672914710174	457	18
BIOCARTA_ATM_PATHWAY	0.391732283464567	0.770609613708497	0.202722824930866	1.04722503658166	198	18
BIOCARTA_AGPCR_PATHWAY	0.776290630975143	0.908921471172962	0.18890306122449	0.756067735212186	405	10
BIOCARTA_BCELLSURVIVAL_PATHWAY	0.956349206349206	0.993576876756323	0.113365369277397	0.558644663693669	481	16
BIOCARTA_BCR_PATHWAY	0.706382978723404	0.903855607837629	-0.131005010315355	-0.810391453080054	331	26
BIOCARTA_BIOPEPTIDES_PATHWAY	0.40188679245283	0.770609613708497	0.168310320057467	1.02798234611459	212	25
BIOCARTA_CDMAC_PATHWAY	0.714867617107943	0.903855607837629	0.17007735864104	0.804579611707148	350	15
