pathway	pval	padj	ES	NES	nMoreExtreme	size
BIOCARTA_RELA_PATHWAY	0.286290322580645	0.556275368511002	-0.2409655209081	-1.13823229114049	141	15
BIOCARTA_CSK_PATHWAY	0.592233009708738	0.780598225734698	-0.235126876577654	-0.879474520542083	304	9
BIOCARTA_SRCRPTP_PATHWAY	0.0925553319919517	0.283462780860529	0.382573341836735	1.45498573990451	45	10
BIOCARTA_ARAP_PATHWAY	0.0430327868852459	0.173909361875085	0.416168380770151	1.62955963986862	20	11
BIOCARTA_AGR_PATHWAY	0.59958932238193	0.784670417349336	-0.145053541605266	-0.887727924954114	291	26
BIOCARTA_AKAP95_PATHWAY	0.209255533199195	0.46301337436383	0.326642219387755	1.24227100868613	103	10
BIOCARTA_AKT_PATHWAY	0.354581673306773	0.621471104828	-0.207163101211345	-1.08524523128224	177	19
BIOCARTA_AT1R_PATHWAY	0.543520309477756	0.749936099514356	0.155925778132482	0.910569935480579	280	24
BIOCARTA_ACE2_PATHWAY	0.161849710982659	0.3937537744802	0.46521635190055	1.31935334634384	83	5
BIOCARTA_DNAFRAGMENT_PATHWAY	0.989733059548255	0.996824083785101	0.152349320224968	0.54912303530882	481	9
BIOCARTA_CHEMICAL_PATHWAY	0.889779559118236	0.940422632007531	0.128474438062823	0.65145032667682	443	18
BIOCARTA_ATM_PATHWAY	0.430861723446894	0.673956432857802	0.202722824930866	1.02793872864796	214	18
BIOCARTA_AGPCR_PATHWAY	0.804828973843058	0.906823429053584	0.18890306122449	0.718427632689672	399	10
BIOCARTA_BCELLSURVIVAL_PATHWAY	0.966135458167331	0.981870501552475	0.113365369277397	0.543357360694163	484	16
BIOCARTA_BCR_PATHWAY	0.731006160164271	0.860230561252143	-0.131005010315355	-0.801750889215246	355	26
BIOCARTA_BIOPEPTIDES_PATHWAY	0.437125748502994	0.678261985359713	0.168310320057467	0.990756360985094	218	25
BIOCARTA_CDMAC_PATHWAY	0.731225296442688	0.860230561252143	0.17007735864104	0.783801262509229	369	15
BIOCARTA_CASPASE_PATHWAY	0.49203187250996	0.712547637682242	-0.175737992659965	-0.954484548467769	246	20
BIOCARTA_CBL_PATHWAY	0.388329979879276	0.645196758622965	0.274760841836735	1.04495808525837	192	10
BIOCARTA_CCR3_PATHWAY	0.294466403162055	0.563210187012693	0.254887218045113	1.13614545725127	148	14
BIOCARTA_CD40_PATHWAY	0.0988142292490119	0.293442255684819	-0.310863444824054	-1.37055657205575	49	13
BIOCARTA_MCM_PATHWAY	0.38508064516129	0.644878203711887	0.241221102476186	1.03470019557229	190	13
BIOCARTA_G1_PATHWAY	0.454545454545455	0.688707634331972	0.167883745677042	0.980401658406324	234	24
BIOCARTA_G2_PATHWAY	0.0828402366863905	0.267505470459519	0.264212953991937	1.43818802062518	41	21
BIOCARTA_CELL2CELL_PATHWAY	0.803245436105477	0.906431580589796	0.242269684411858	0.735132620051887	395	6
BIOCARTA_CERAMIDE_PATHWAY	0.538461538461538	0.745210449927431	0.165075588312103	0.920905026592554	272	22
BIOCARTA_VDR_PATHWAY	0.656804733727811	0.82282881671964	0.149914400951745	0.83632550885752	332	22
BIOCARTA_HDAC_PATHWAY	0.217131474103586	0.471200994837219	-0.236004450695946	-1.23633360951605	108	19
BIOCARTA_GCR_PATHWAY	0.778225806451613	0.887758365524507	-0.167851446798815	-0.764226913045433	385	14
BIOCARTA_CTCF_PATHWAY	0.00404040404040404	0.0384887839433294	-0.38657563081085	-2.13323074671659	1	21
BIOCARTA_CTL_PATHWAY	0.00785854616895874	0.0601229508196721	-0.624880459037297	-1.90208386358307	3	6
BIOCARTA_CXCR4_PATHWAY	0.695390781563126	0.839935587761675	0.158990994823796	0.806189441871597	346	18
BIOCARTA_CELLCYCLE_PATHWAY	0.289940828402367	0.560037666700601	0.203888401287268	1.10982391985488	146	21
BIOCARTA_CFTR_PATHWAY	0.455852156057495	0.688707634331972	0.272255435986006	0.981308818229046	221	9
BIOCARTA_CYTOKINE_PATHWAY	0.0628683693516699	0.22380853953818	-0.51322919987249	-1.56222676718212	31	6
BIOCARTA_INFLAM_PATHWAY	0.0893203883495146	0.278152410472862	-0.387511624817324	-1.44945828992945	45	9
BIOCARTA_D4GDI_PATHWAY	0.586138613861386	0.778516012827835	-0.231536989795918	-0.897277820059159	295	10
BIOCARTA_P35ALZHEIMERS_PATHWAY	0.522593320235756	0.731530916780396	-0.305254489427266	-0.929169139839013	265	6
BIOCARTA_RNA_PATHWAY	0.685436893203883	0.83585695954289	-0.217235729152828	-0.812554019864228	352	9
BIOCARTA_MTA3_PATHWAY	0.00199203187250996	0.0237909895884013	0.531593954378689	2.54791643914989	0	16
BIOCARTA_SKP2E2F_PATHWAY	0.487854251012146	0.710707235585718	0.279611031404432	0.973349234605867	240	8
BIOCARTA_CALCINEURIN_PATHWAY	0.014	0.0866143724696356	-0.376405726591163	-1.8421546421752	6	16
BIOCARTA_EGF_PATHWAY	0.42479674796748	0.670933163600803	-0.158362035537511	-1.0092947522015	208	28
