pathway	pval	padj	ES	NES	nMoreExtreme	size
REACTOME_INTERLEUKIN_6_SIGNALING	0.342158859470468	0.584160457861765	-0.298684734954165	-1.09666254750202	167	9
REACTOME_APOPTOSIS	0.0390334572490706	0.14473230368298	-0.155779260021935	-1.64028017061191	20	86
REACTOME_HEMOSTASIS	0.00408163265306122	0.0372634341759912	0.103285634898583	2.24869595606693	1	354
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	0.203125	0.431440698818898	-0.176665680620302	-1.24821282693611	103	37
REACTOME_MAPK3_ERK1_ACTIVATION	0.816700610997963	0.905673133881606	-0.194225233603472	-0.713124959350348	400	9
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	0.0268041237113402	0.110810917565272	0.231980085435938	1.68941588564497	12	39
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	0.00211416490486258	0.0233833217753121	0.373176833812414	2.41446380094922	0	30
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	0.00415800415800416	0.0372634341759912	0.381634581067747	1.98629367691396	1	19
REACTOME_CLEAVAGE_OF_THE_DAMAGED_PYRIMIDINE	0.379098360655738	0.623547456017593	-0.316421683043186	-1.05339065479858	184	7
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	0.35812133072407	0.603770181017612	0.285886364642841	1.06308425775391	182	9
REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	0.312859884836852	0.556795235866897	0.318826717678941	1.12275686470685	162	8
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	0.00208333333333333	0.0233833217753121	0.37927640329875	2.2195508638047	0	24
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.351669941060904	0.595685818531735	-0.252963376388667	-1.07748334128887	178	12
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS	0.0717213114754098	0.219850270119225	-0.455863097610129	-1.51760120315302	34	7
REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA	0.450819672131148	0.674666333189332	-0.295608511994899	-0.984102103937807	219	7
REACTOME_FORMATION_OF_APOPTOSOME	0.619144602851324	0.794360316856811	-0.237562552588459	-0.872243953654751	303	9
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	0.254	0.49583844949157	-0.367336096057805	-1.15283832580638	126	6
REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE	0.30241935483871	0.547058408260973	-0.27803990635849	-1.13065963496177	149	11
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	0.748560460652591	0.85705237444863	-0.118595911625026	-0.750695053568532	389	29
REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE	0.165668662674651	0.382776203481688	-0.460992907801418	-1.32343727108653	82	5
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE	0.302681992337165	0.547058408260973	-0.233240947519541	-1.12500492642119	157	16
REACTOME_OPIOID_SIGNALLING	0.133744855967078	0.33328106140526	0.160549696663918	1.3599191206148	64	52
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB	0.130522088353414	0.327519379844961	0.297391205285942	1.35901874254326	64	14
REACTOME_CAM_PDE_1_ACTIVATION	0.3812375249501	0.62421136482725	0.389003107817356	1.05921538212644	190	5
REACTOME_CA_DEPENDENT_EVENTS	0.0273684210526316	0.111858054226475	0.302375010881235	1.68886983659428	12	22
REACTOME_G_PROTEIN_MEDIATED_EVENTS	0.0735294117647059	0.221968319628153	0.222867752755151	1.48718009486815	34	32
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	0.550898203592814	0.742930080064031	0.340792094987648	0.927941761553988	275	5
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	0.632829373650108	0.797336565046566	0.151603154611346	0.857411136407337	292	23
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	0.676864244741874	0.823920088790233	-0.0913555844675741	-0.841751799673189	353	64
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.801104972375691	0.893890656870083	-0.066663991009793	-0.746537282416618	434	96
REACTOME_NEURONAL_SYSTEM	0.728991596638655	0.846245652322171	0.0579207613555993	0.780870047448337	346	131
REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX	0.148305084745763	0.356394624589483	0.152619259259259	1.3115815120647	69	54
REACTOME_IRS_MEDIATED_SIGNALLING	0.351043643263757	0.595559891637726	-0.193395815802455	-1.0678045486904	184	22
REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION	0.982954545454545	0.988865230323452	-0.093380143088912	-0.506528515167957	518	21
REACTOME_MAPK1_ERK2_ACTIVATION	0.486486486486487	0.702702702702703	-0.277797704447633	-0.960812427867419	233	8
REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX	0.00420168067226891	0.0372634341759912	0.303850223606453	2.02757015666237	1	32
REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1	0.444	0.669100558659218	0.261686862244898	1.0187014940299	221	10
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.378378378378378	0.623547456017593	-0.209450116996384	-1.05634036267502	195	18
