pathway	pval	padj	ES	NES	nMoreExtreme	size
WP_HYPOXIADEPENDENT_PROLIFERATION_OF_MYOBLASTS	0.55984555984556	0.717969878275222	0.224964304610322	0.902599749983477	289	11
WP_INFLAMMATORY_RESPONSE_PATHWAY	0.0321285140562249	0.168674698795181	0.328662341345813	1.65909767734966	15	18
WP_OMEGA3_OMEGA6_FATTY_ACID_SYNTHESIS	0.16023166023166	0.381348283878025	0.323208163916128	1.29677287447286	82	11
WP_ELECTRON_TRANSPORT_CHAIN	0.00199203187250996	0.0265906932573599	0.269446993605957	2.88546768083303	0	86
WP_GLUTATHIONE_AND_ONECARBON_METABOLISM	0.704225352112676	0.827341672412095	0.139811119978718	0.817124670202737	349	24
WP_BDNF_PATHWAY	0.49034749034749	0.669090428344791	0.239807788480355	0.96215464182813	253	11
WP_ID_SIGNALING_PATHWAY	0.542168674698795	0.70064874884152	0.128176986089384	0.933551980914174	269	38
WP_FACTORS_AND_PATHWAYS_AFFECTING_INSULINLIKE_GROWTH_FACTOR_IGF1AKT_SIGNALING	0.38996138996139	0.60518517204053	-0.183721761336234	-1.04616228109564	201	23
WP_SEROTONIN_AND_ANXIETYRELATED_EVENTS	0.073558648111332	0.262933040057527	-0.528998326559885	-1.47713655937771	36	5
WP_GLUCURONIDATION	0.215415019762846	0.452371541501976	0.381730407951815	1.23303982932319	108	7
WP_ETHANOL_METABOLISM_RESULTING_IN_PRODUCTION_OF_ROS_BY_CYP2E1	0.921455938697318	0.957079180648069	0.169638191399849	0.623521008619696	480	9
WP_SPLICING_FACTOR_NOVA_REGULATED_SYNAPTIC_PROTEINS	0.87992125984252	0.941571793971613	-0.104365062977493	-0.660412286320518	446	29
WP_OXIDATIVE_STRESS_AND_REDOX_PATHWAY	0.265432098765432	0.491818320844166	0.126529873122391	1.14576429472254	128	61
WP_LEPTIN_AND_ADIPONECTIN	0.925196850393701	0.957079180648069	-0.176630001594134	-0.610194787737578	469	8
WP_APOE_AND_MIR146_IN_INFLAMMATION_AND_ATHEROSCLEROSIS	0.139112903225806	0.381348283878025	-0.407428070455089	-1.31818848544154	68	7
WP_IL6_SIGNALING_PATHWAY	0.138492871690428	0.381348283878025	-0.118181024624096	-1.30387762625162	67	91
WP_LUNG_FIBROSIS	0.0585858585858586	0.228893587033122	0.228680976344528	1.60177855447404	28	35
WP_EGFR1_SIGNALING_PATHWAY	0.0197628458498024	0.127698388567954	-0.117165921655834	-1.72791014519315	9	161
WP_WNT_SIGNALING_PATHWAY_AND_PLURIPOTENCY	0.199195171026157	0.42360492066322	0.123892437376804	1.20436298110226	98	71
WP_INTEGRINMEDIATED_CELL_ADHESION	0.324	0.567	0.106619314578524	1.08865094332375	161	79
WP_DOPAMINERGIC_NEUROGENESIS	0.120967741935484	0.359926545602938	-0.421375627640073	-1.36331426497054	59	7
WP_HYPOXIADEPENDENT_SELFRENEWAL_OF_MYOBLASTS	0.411417322834646	0.624100301834223	-0.296090387374462	-1.02288857750369	208	8
WP_REGULATION_OF_ACTIN_CYTOSKELETON	0.147773279352227	0.381348283878025	0.108975961338166	1.31499032270928	72	108
WP_IL9_SIGNALING_PATHWAY	0.436619718309859	0.624100301834223	0.184037953747497	1.02369400209091	216	22
WP_METHYLATION	0.448897795591182	0.633738064364022	0.357749621483784	1.00045903347722	223	5
WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY	0.266401590457256	0.491818320844166	-0.222186299414272	-1.15412622308297	133	19
WP_SIDS_SUSCEPTIBILITY_PATHWAYS	0.248508946322068	0.487987210375808	-0.192525261741292	-1.19760864422287	124	28
WP_GENE_REGULATORY_NETWORK_MODELLING_SOMITOGENESIS	0.701402805611222	0.827341672412095	0.285600446250697	0.798691401074169	349	5
WP_OMEGA9_FATTY_ACID_SYNTHESIS	0.0637065637065637	0.243243243243243	0.378139201148051	1.51716668564992	32	11
WP_MITOCHONDRIAL_LONG_CHAIN_FATTY_ACID_BETAOXIDATION	0.2578125	0.487987210375808	0.247168607433402	1.18580372812662	131	16
WP_GPCRS_NONODORANT	0.0466101694915254	0.202004008016032	0.189099259259259	1.59459947212168	21	54
WP_METAPATHWAY_BIOTRANSFORMATION	0.187755102040816	0.408333333333333	0.135137998361635	1.25858663286271	91	65
WP_EDA_SIGNALING_IN_HAIR_FOLLICLE_DEVELOPMENT	0.18125	0.406	-0.353297019618263	-1.27595326044435	86	9
WP_ONECARBON_METABOLISM_AND_RELATED_PATHWAYS	0.0888888888888889	0.298666666666667	0.205600629899695	1.44011401833236	43	35
WP_P38_MAPK_SIGNALING_PATHWAY	0.991786447638604	0.991786447638604	0.0715638064670683	0.469953249890674	482	31
WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION	0.0458167330677291	0.202004008016032	0.324343472732477	1.60070881571462	22	17
WP_RETINOL_METABOLISM	0.658	0.80104347826087	-0.171121715017665	-0.845942728202089	328	17
WP_P53_SIGNALING	0.847422680412371	0.925090909090909	0.0797717338513841	0.702980489495265	410	58
WP_MIR193A_AND_MVP_IN_COLON_CANCER_METASTASIS	0.835365853658537	0.925090909090909	0.239480395282117	0.715396516955972	410	6
WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS	0.613861386138614	0.763770319260905	0.0801740122664385	0.880050812115896	309	90
WP_MIRNAS_AND_TFS_IN_IPS_CELL_GENERATION	0.338677354709419	0.580589750930432	0.38943342098972	1.08906386078389	168	5
WP_TCA_CYCLE	0.0121703853955375	0.0973630831643002	0.296071542638135	1.90799403359668	5	30
WP_GPCRS_SMALL_LIGAND	0.185770750988142	0.408333333333333	0.390349429004087	1.26088041007296	93	7
WP_ONECARBON_METABOLISM	0.0704225352112676	0.257195345988977	0.252833200319234	1.47768107042276	34	24
WP_SEROTONIN_AND_ANXIETY	0.153225806451613	0.381348283878025	-0.39704425645288	-1.28459280304933	75	7
WP_ESC_PLURIPOTENCY_PATHWAYS	0.34349593495935	0.58290219265829	0.106791706743614	1.08428680197275	168	78
WP_IL7_SIGNALING_PATHWAY	0.256214149139579	0.487987210375808	-0.152265058972815	-1.16365369646652	133	41
WP_NUCLEAR_RECEPTORS	0.738430583501006	0.86150234741784	0.135049215216813	0.789293766203824	366	24
WP_NUCLEAR_RECEPTORS_IN_LIPID_METABOLISM_AND_TOXICITY	0.909090909090909	0.957079180648069	-0.158610742681539	-0.634952020747668	439	11
WP_LEPTININSULIN_SIGNALING_OVERLAP	0.960629921259842	0.969699878799515	0.127133770463648	0.561964083801753	487	13
WP_STATIN_PATHWAY	0.416334661354582	0.624100301834223	0.243342369638016	1.02094195217627	208	12
WP_WHITE_FAT_CELL_DIFFERENTIATION	0.811359026369168	0.921002138040678	0.116131378444781	0.712834487180886	399	27
WP_EXERCISEINDUCED_CIRCADIAN_REGULATION	0.0764818355640535	0.26583357000852	-0.191180684283467	-1.46105818012506	39	41
WP_GPCRS_ODORANT	0.0546558704453441	0.218623481781377	0.249352329823112	1.58259146317582	26	29
WP_OXIDATION_BY_CYTOCHROME_P450	0.683168316831683	0.813987781756899	0.175449988607883	0.799931818113895	344	14
WP_HISTONE_MODIFICATIONS	0.618290258449304	0.763770319260905	-0.312136425213164	-0.871587114829251	310	5
WP_ENDOCHONDRAL_OSSIFICATION	0.0432098765432099	0.202004008016032	0.211416321488264	1.62046239452717	20	44
WP_SELENIUM_METABOLISM_SELENOPROTEINS	0.432595573440644	0.624100301834223	0.137607179077415	1.01461826482241	214	39
WP_WNT_SIGNALING_IN_KIDNEY_DISEASE	0.949290060851927	0.966549880140144	0.0942083617903846	0.578267219112802	467	27
WP_IL3_SIGNALING_PATHWAY	0.5199203187251	0.687768610596982	0.0866010405401294	0.933948920088572	260	87
WP_TGFBETA_SIGNALING_PATHWAY	0.142566191446029	0.381348283878025	0.174011600536503	1.34645573115187	69	45
WP_TRANSLATION_FACTORS	0.0040650406504065	0.0402539834671139	0.277690104420128	2.1802316448915	1	46
WP_G_PROTEIN_SIGNALING_PATHWAYS	0.842629482071713	0.925090909090909	0.0734202782469398	0.70426744825978	422	69
WP_SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES	0.274549098196393	0.499344348282192	0.407777512152363	1.14036373816315	136	5
WP_HEART_DEVELOPMENT	0.383983572895277	0.602890095760809	0.178303136722803	1.05032873206729	186	25
WP_FATTY_ACID_BIOSYNTHESIS	0.114	0.355039759295078	0.254888997807692	1.39061584596147	56	21
WP_PENTOSE_PHOSPHATE_PATHWAY	0.158102766798419	0.381348283878025	0.400664928440492	1.29420084093068	79	7
WP_GDNFRET_SIGNALING_AXIS	0.173228346456693	0.398662495955129	0.291241650463403	1.28736327626163	87	13
WP_ESTROGEN_METABOLISM	0.537074148296593	0.699445402432773	0.332727707387043	0.930484396217936	267	5
WP_NODLIKE_RECEPTOR_NLR_SIGNALING_PATHWAY	0.133858267716535	0.381155745362338	-0.389925075721345	-1.34705455848927	67	8
