pathway	pval	padj	ES	NES	nMoreExtreme	size
ND5_UNIPROT_A0A023J5X2_UNREVIEWED_TARGET_GENES	0.0467479674796748	0.136567096008039	0.0635840838594093	1.60514095085187	22	492
ZFP961_TARGET_GENES	0.626506024096386	0.693577163247101	0.0432168208721454	0.869505086796985	311	292
ZFP872_TARGET_GENES	0.072	0.165394402035623	-0.264619499758732	-1.45949631364711	35	21
ZFP810_TARGET_GENES	0.35	0.471502590673575	-0.0508725444889734	-1.08302491465865	181	346
ZFP935_TARGET_GENES	0.0324543610547667	0.102495873062803	0.0573715990083179	1.64599964146598	15	636
ZFP493_TARGET_GENES	0.0912698412698413	0.196117014298832	0.0734378328070507	1.42749901083994	45	271
ZFP335_TARGET_GENES	0.0196463654223969	0.071944436758073	0.11698429367708	1.81291712170169	9	175
ZFP534_TARGET_GENES	0.493951612903226	0.589116602545132	-0.169877840002321	-0.957693052201865	244	22
ZFP984_TARGET_GENES	0.483300589390963	0.579069830606683	0.0826703654385519	0.968898532245706	245	97
ZFP981_TARGET_GENES	0.62426614481409	0.693577163247101	-0.180806550229949	-0.843937721068359	318	15
DMRTB1_TARGET_GENES	0.00409836065573771	0.0289774310392867	0.0710328281897681	2.50297209397413	1	1016
MLLT3_TARGET_GENES	0.0708812260536398	0.165394402035623	-0.0464748953766686	-1.48875327985832	36	813
RTF1_TARGET_GENES	0.0534653465346535	0.14480198019802	0.090033754801183	1.63212094171049	26	239
GM14419_GM2004_TARGET_GENES	0.621621621621622	0.693577163247101	-0.0820080883618329	-0.860012140010803	298	82
GM14418_TARGET_GENES	0.275303643724696	0.402128917800118	-0.327435039056273	-1.14035871081228	135	8
GM14412_TARGET_GENES	0.662551440329218	0.723795691115952	0.03093170677136	0.828170739312564	321	555
GM6710_GM14391_TARGET_GENES	0.415478615071283	0.529531568228106	0.223324560703937	1.03121327623287	203	15
GM14401_TARGET_GENES	0.140384615384615	0.274436090225564	0.128303709265149	1.33238658601669	72	76
GM14410_TARGET_GENES	0.234817813765182	0.359133126934985	0.2222754108824	1.18419138836835	115	20
GM14393_TARGET_GENES	0.931506849315068	0.942380470124194	-0.0943628233791121	-0.614220799549538	475	30
