pathway	pval	padj	ES	NES	nMoreExtreme	size
MIR_92A_3P_MIR_92B_3P	0.00194174757281553	0.00676532105843526	-0.149126645215186	-2.87941956742332	0	281
MIR_100_5P_MIR_99A_5P	0.874755381604697	0.90738765215794	-0.15975293345519	-0.683689640279483	446	13
MIR_129_1_3P_MIR_129_2_3P	0.00199600798403194	0.00676532105843526	-0.214033301794783	-2.2143685541143	0	77
MIR_30A_3P_MIR_30E_3P	0.00388349514563107	0.0115825965440327	-0.159386470819765	-2.54793121709766	1	193
MIR_146A_5P_MIR_146B_5P	0.0019047619047619	0.00676532105843526	-0.24933754586221	-2.36920803279806	0	66
MIR_30A_5P_MIR_30E_5P	0.00192307692307692	0.00676532105843526	-0.184236702727955	-4.755863772725	0	506
MIR_30B_5P_MIR_30C_5P	0.00186219739292365	0.00676532105843526	-0.180909669739501	-4.74721674652998	0	513
MIR_411_5P_MIR_7229_5P	0.00195694716242661	0.00676532105843526	-0.415360598884188	-2.53436351452234	0	27
MIR_3079_3P_MIR_7080_3P	0.435700575815739	0.534926478093126	-0.124668908815319	-1.00602683987468	226	47
MIR_130A_3P_MIR_721	0.00194931773879142	0.00676532105843526	-0.226444822046304	-3.78977406286793	0	217
MIR_301A_3P_MIR_301B_3P	0.0019723865877712	0.00676532105843526	-0.228162668522948	-3.80616784653253	0	218
MIR_379_3P_MIR_411_3P	0.00198412698412698	0.00676532105843526	-0.278641749022127	-3.26457180681342	0	102
MIR_200B_3P_MIR_429_3P	0.00199600798403194	0.00676532105843526	-0.179376203716121	-3.52409753947426	0	295
MIR_486A_5P_MIR_486B_5P	0.305084745762712	0.411292449670894	-0.15482077677415	-1.12112357058685	161	38
MIR_106A_3P_MIR_17_3P	0.00198807157057654	0.00676532105843526	-0.203703622061963	-2.256462582056	0	91
MIR_299A_3P_MIR_299B_3P	0.0470809792843691	0.0920267667644585	-0.221581638660409	-1.60456757217951	24	38
MIR_465A_3P_MIR_465B_3P_MIR_465C_3P	0.524177949709865	0.61542399137873	-0.208737753474596	-0.925906832972098	270	14
MIR_6358_MIR_6376	0.363636363636364	0.468065387348969	-0.166618758650059	-1.07327355919283	187	30
LET_7A_5P_LET_7C_5P_LET_7E_5P_MIR_98_5P	0.00196463654223969	0.00676532105843526	-0.135620100675863	-2.54776513567655	0	269
LET_7B_5P_LET_7K	0.001953125	0.00676532105843526	-0.134234209062129	-2.52480686620049	0	268
MIR_466B_5P_MIR_466O_5P	0.388781431334623	0.489955546506498	-0.131053517053434	-1.03657448773056	200	46
MIR_378A_3P_MIR_378C	0.00801603206412826	0.0206571588618193	-0.328967727674624	-1.95142541582902	3	26
MIR_6948_3P_MIR_7117_3P	0.00194931773879142	0.00676532105843526	-0.181622720302169	-2.08693122365485	0	97
MIR_362_5P_MIR_500_5P	0.311890838206628	0.416821554316454	-0.195364458632615	-1.11907376407455	159	24
MIR_500_3P_MIR_501_3P	0.0393700787401575	0.0783764616028077	-0.215084947022287	-1.61942709016865	19	42
MIR_1193_5P_MIR_379_5P	0.102514506769826	0.175506464420238	-0.216512584586297	-1.41314667126819	52	31
MIR_466J_MIR_466M_5P_MIR_669M_5P	0.122840690978887	0.201692715473905	-0.10196713908594	-1.36623036689229	63	133
MIR_344_3P_MIR_344C_3P	0.333984375	0.438868656859457	-0.219669573849536	-1.09215274655897	170	18
MIR_103_3P_MIR_107_3P	0.00191204588910134	0.00676532105843526	-0.181955551236536	-2.58812963773664	0	151
MIR_27A_3P_MIR_27B_3P	0.00194931773879142	0.00676532105843526	-0.201280482534561	-4.58150111247715	0	388
MIR_466A_3P_MIR_466D_3P_MIR_466E_3P	0.0019047619047619	0.00676532105843526	-0.186427920379714	-4.72736407832046	0	481
MIR_297A_3P_MIR_297B_3P_MIR_297C_3P	0.00189035916824197	0.00676532105843526	-0.185370660110455	-4.74041091032822	0	491
MIR_486A_3P_MIR_486B_3P	0.110429447852761	0.185918328220859	0.118062216498983	1.37253483760366	53	97
