pathway	pval	padj	ES	NES	nMoreExtreme	size
GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE	0.525793650793651	0.745767561878019	0.13272881037399	0.923429215046013	264	34
GOBP_REPRODUCTION	0.268595041322314	0.549003876482242	-0.0358645137860416	-1.15180556192333	129	795
GOBP_SINGLE_STRAND_BREAK_REPAIR	0.857965451055662	0.928951740042796	-0.167895167895168	-0.678136594267843	446	11
GOBP_REGULATION_OF_DNA_RECOMBINATION	0.246679316888046	0.525678229830863	0.0962318605534075	1.17239128074427	129	109
GOBP_REGULATION_OF_MITOTIC_RECOMBINATION	0.423076923076923	0.678299275884293	0.34661566252258	1.0415031458017	208	6
GOBP_MITOTIC_SPINDLE_ELONGATION	0.00203665987780041	0.0381915093453555	0.621460519906116	2.27106442450842	0	9
GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY	0.00194552529182879	0.0381915093453555	0.450246866033107	2.6747252188281	0	23
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY	0.00201207243460765	0.0381915093453555	0.589591249763819	3.16581718598836	0	19
GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	0.607142857142857	0.797839497068226	0.15238081420654	0.881733722877721	305	22
GOBP_TRANSITION_METAL_ION_TRANSPORT	0.445585215605749	0.69353526620359	-0.100957778594379	-0.994479188171291	216	68
GOBP_CITRULLINE_METABOLIC_PROCESS	0.0637860082304527	0.261659375502727	0.46128271983058	1.49944983846183	30	7
GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS	0.0602409638554217	0.255161270080321	0.315341467953319	1.51067158738001	29	15
GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS	0.47119341563786	0.712628330751106	0.302827084448189	0.984372497249574	228	7
GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS	0.173913043478261	0.435518961073736	0.374521759923482	1.27985590868076	83	8
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING	0.00185185185185185	0.0381915093453555	0.163586058344011	2.49359224106535	0	174
GOBP_DNA_REPLICATION_CHECKPOINT_SIGNALING	0.152610441767068	0.407671618482064	0.277332057314512	1.3285840963888	75	15
GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE	0.975708502024291	0.990166824858843	0.113255702663902	0.557799565730497	481	16
GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS	0.496108949416342	0.728761531926558	0.161467386967278	0.959209101763955	254	23
GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS	0.0956340956340956	0.323674739605386	0.368311191320041	1.47273605599741	45	11
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	0.00208333333333333	0.0381915093453555	-0.0883035715172813	-2.61375684740327	0	678
GOBP_RRNA_MODIFICATION	0.00198412698412698	0.0381915093453555	0.32692461268168	2.20733802464267	0	32
GOBP_MAPK_CASCADE	0.153039832285115	0.408510381517295	-0.0500952328707515	-1.31879558222281	72	537
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	0.0475206611570248	0.222244995559199	-0.208902137947284	-1.56180659013671	22	39
GOBP_PROTEIN_POLYUBIQUITINATION	0.0020703933747412	0.0381915093453555	-0.15686394246264	-2.67599574691321	0	215
GOBP_MEIOTIC_SPINDLE_ORGANIZATION	0.032520325203252	0.183239539014271	0.315513139929338	1.59871630285305	15	17
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	0.0472589792060491	0.221517952964377	0.0649694824879554	1.64367968999425	24	490
GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY	0.590631364562118	0.788882705366689	0.244497586466498	0.89349162612312	289	9
GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY	0.00204498977505112	0.0381915093453555	-0.281816365670449	-2.14475614626246	0	40
GOBP_ALLANTOIN_METABOLIC_PROCESS	0.885658914728682	0.943058162101065	-0.205034783499755	-0.659801002210099	456	7
GOBP_MITOCHONDRIAL_FISSION	0.368110236220472	0.638817070378873	0.146425725877671	1.0550132147841	186	37
GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS	0.824091778202677	0.909969638320878	0.0845408775265404	0.706869818932968	430	49
GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS	0.614314115308151	0.800222879598161	0.165656243352478	0.869958038417727	308	18
GOBP_MITOTIC_CELL_CYCLE	0.00195694716242661	0.0381915093453555	0.0872318956932215	2.74662339220599	0	774
GOBP_M_PHASE	0.976878612716763	0.990526306760675	-0.15359477124183	-0.527457348580774	506	8
GOBP_MITOTIC_CYTOKINESIS	0.128787878787879	0.370585554796081	0.132045092101638	1.33080495226069	67	73
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	0.00401606425702811	0.0541084497671324	-0.232065185185185	-2.04226379544683	1	54
GOBP_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING	0.01	0.09494372840198	-0.325459334344321	-1.96732022200539	4	25
GOBP_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA	0.418650793650794	0.676034267434119	-0.268494897959184	-1.01509291784268	210	10
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	0.873493975903614	0.937626102496109	0.138538426775128	0.663680759932576	434	15
GOBP_RETROGRADE_TRANSPORT_VESICLE_RECYCLING_WITHIN_GOLGI	0.174698795180723	0.435719403171043	0.322560586734694	1.25517317914942	86	10
GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	0.00195694716242661	0.0381915093453555	0.157759509182539	2.22472231127069	0	149
GOBP_RESPONSE_TO_OXYGEN_RADICAL	0.611670020120724	0.800222879598161	0.164268469338484	0.882041488159967	303	19
GOBP_PROTEIN_DENEDDYLATION	0.36144578313253	0.632651672063557	0.273038903061224	1.06247050036745	179	10
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	0.0043010752688172	0.0545473600368903	-0.120293196173258	-2.16654755456017	1	241
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	0.00208333333333333	0.0381915093453555	-0.230771870032137	-2.18115297708591	0	63
GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	0.00421940928270042	0.0542519304214406	-0.244681664604219	-1.97066232479009	1	46
GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY	0.00205338809034908	0.0381915093453555	0.360871480347129	2.3748999313511	0	31
GOBP_RNA_SPLICING_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION	0.854469854469854	0.926880681538655	0.17332376624412	0.693055671195115	410	11
GOBP_MRNA_5_SPLICE_SITE_RECOGNITION	0.444897959183673	0.693256907839656	-0.359407124073631	-0.997139813745641	217	5
GOBP_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION	0.723232323232323	0.852727345949528	-0.143541051623713	-0.788510663414347	357	21
GOBP_REGULATION_OF_HISTONE_H3_K36_METHYLATION	0.1252408477842	0.365283643179379	-0.40662362505978	-1.39637969059928	64	8
GOBP_AUTOPHAGY_OF_MITOCHONDRION	0.0841300191204589	0.301238252282722	0.140945487130162	1.4703050100727	43	78
GOBP_MITOPHAGY	0.0907297830374754	0.316678094657626	0.202537856743464	1.42373132312461	45	35
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	0.0745341614906832	0.282916718003725	0.440618523832297	1.505728856225	35	8
GOBP_SNORNA_GUIDED_RRNA_PSEUDOURIDINE_SYNTHESIS	0.720703125	0.851655760503426	0.282189815921587	0.792799671656084	368	5
GOBP_ENZYME_DIRECTED_RRNA_PSEUDOURIDINE_SYNTHESIS	0.0202429149797571	0.140256022213312	0.588540006375518	1.76843211183605	9	6
GOBP_MATURATION_OF_5_8S_RRNA	0.0493096646942801	0.227968130067276	0.221288783905606	1.55554017489983	24	35
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	0.00195694716242661	0.0381915093453555	0.319766203333866	2.28323743419756	0	36
GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	0.0364372469635627	0.194951257191562	0.332698596267347	1.63858532640778	17	16
GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	0.0389105058365759	0.200119961243291	0.269306996541633	1.6284622711398	19	24
GOBP_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	0.0275590551181102	0.167100850511114	0.275674173415053	1.73115147759033	13	27
GOBP_MATURATION_OF_LSU_RRNA	0.0347490347490347	0.189821343473736	0.265631495629431	1.73417760509088	17	29
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	0.0120481927710843	0.103684579588194	0.410080548688093	1.96452765144106	5	15
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_5_ETS_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	0.0769230769230769	0.2866331835404	0.491047710126448	1.4754893968535	37	6
GOBP_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX_ASSEMBLY	0.694779116465863	0.841836856150051	0.205436862244898	0.799412110787418	345	10
GOBP_BOX_C_D_SNORNP_ASSEMBLY	0.287784679089027	0.569442555399394	0.330483819544078	1.12936473772122	138	8
GOBP_EMBRYONIC_AXIS_SPECIFICATION	0.463114754098361	0.707282767644116	-0.172098413326255	-0.982257969350112	225	23
GOBP_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	0.014344262295082	0.115786315746654	0.43632270767268	1.9243316004982	6	13
GOBP_TELOMERE_MAINTENANCE_VIA_RECOMBINATION	0.748031496062992	0.8673485855259	-0.160671558462275	-0.769328155148935	379	16
GOBP_RECOMBINATIONAL_REPAIR	0.080078125	0.292361549523008	0.102447597549178	1.4547927434867	40	150
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION	0.00207900207900208	0.0381915093453555	0.610358548411646	2.4405911699571	0	11
GOBP_DNA_DOUBLE_STRAND_BREAK_PROCESSING	0.0941176470588235	0.322770127738783	-0.299752731913536	-1.48383148063393	47	17
GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR	0.240079365079365	0.520131984417699	0.177452683277432	1.19812959984917	120	32
GOBP_DNA_CATABOLIC_PROCESS_ENDONUCLEOLYTIC	0.937743190661479	0.969791320687264	0.10398559398778	0.617734206757327	481	23
GOBP_SISTER_CHROMATID_SEGREGATION	0.00375234521575985	0.0541084497671324	0.13807220799775	2.22258415749547	1	198
GOBP_REGULATION_OF_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	0.0174418604651163	0.129687707641196	-0.549066936888727	-1.76689490951687	8	7
GOBP_CELL_MORPHOGENESIS	0.0752895752895753	0.283797205581678	0.0467419089678023	1.46557859420755	38	761
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	0.0961538461538462	0.324095108912802	0.0536985157056508	1.42617151274359	49	548
GOBP_CYTOKINESIS	0.103718199608611	0.335216396747948	0.100278898149426	1.41413156784441	52	149
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	0.0041407867494824	0.0541084497671324	-0.171712015801062	-2.12061367598885	1	111
GOBP_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	0.551181102362205	0.760225620514841	-0.302465200297524	-0.906716187580723	279	6
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS	0.494186046511628	0.727178844692559	0.117776800469108	0.968900400695088	254	48
GOBP_REGULATION_OF_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	0.885714285714286	0.943058162101065	-0.235747868356044	-0.65405933772008	433	5
GOBP_MITOCHONDRIAL_RNA_PROCESSING	0.894117647058824	0.94799947266289	-0.13007145906939	-0.643877787091596	455	17
GOBP_MITOCHONDRIAL_RNA_3_END_PROCESSING	0.506122448979592	0.733860631393186	-0.342991473424177	-0.95159620112722	247	5
GOBP_RNA_5_END_PROCESSING	0.498993963782696	0.731564555012535	0.179127915520752	0.961829460109923	247	19
GOBP_TRANSCRIPTION_DEPENDENT_TETHERING_OF_RNA_POLYMERASE_II_GENE_DNA_AT_NUCLEAR_PERIPHERY	0.307692307692308	0.588259228282737	0.377271278291361	1.13361646816951	151	6
GOBP_RESPONSE_TO_ACID_CHEMICAL	0.0152671755725191	0.120837280139671	0.178843586096586	1.90591429500906	7	81
GOBP_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA	0.4824016563147	0.720501647379118	0.282560178542962	0.965594934029962	232	8
GOBP_GUANINE_NUCLEOTIDE_TRANSPORT	0.236328125	0.516303150184688	0.429532233644115	1.20675160684531	120	5
GOBP_SKELETAL_SYSTEM_DEVELOPMENT	0.00189035916824197	0.0381915093453555	0.125149115495045	2.67785644194032	0	354
GOBP_CARTILAGE_CONDENSATION	0.00200803212851406	0.0381915093453555	0.566613520408163	2.20485119077713	0	10
GOBP_OSSIFICATION	0.0196078431372549	0.137170567151592	0.0954428335429149	1.74939353584661	9	264
GOBP_NEUROTRANSMITTER_UPTAKE	0.118473895582329	0.356847761416034	0.288236701491347	1.38082377243062	58	15
GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS	0.716831683168317	0.849633744462885	0.059828502130056	0.800502032907426	361	137
GOBP_ACTION_POTENTIAL	0.24031007751938	0.520458510100228	0.12609496356794	1.18913951560983	123	65
GOBP_RNA_METHYLATION	0.383141762452107	0.650724606839608	0.10715699419013	1.04270664407285	199	69
GOBP_PSEUDOURIDINE_SYNTHESIS	0.00795228628230616	0.0816050071808894	0.366562078990286	1.92503234857367	3	18
GOBP_ANGIOGENESIS	0.00380228136882129	0.0541084497671324	0.0945626142821996	2.15833241848868	1	401
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	0.0196850393700787	0.13756269188156	-0.204253848371376	-1.7948113657308	9	53
GOBP_OVARIAN_FOLLICLE_DEVELOPMENT	0.970703125	0.987551920445661	0.0710830424316714	0.560569591637922	496	45
GOBP_OVULATION_FROM_OVARIAN_FOLLICLE	0.0891472868217054	0.313170760292665	-0.454815607601134	-1.46359455987809	45	7
GOBP_ANTRAL_OVARIAN_FOLLICLE_GROWTH	0.902040816326531	0.951780335877458	-0.230886923260818	-0.640573122333072	441	5
GOBP_LUTEINIZATION	0.0721649484536082	0.279948364888124	0.349611970445968	1.46883405875933	34	12
GOBP_OOCYTE_MATURATION	0.031496062992126	0.17927680299805	0.264915190595721	1.66358827870839	15	27
GOBP_REGULATION_OF_CELL_GROWTH	0.0685714285714286	0.272526398464089	0.0730930936817037	1.50421043398129	35	334
GOBP_RESPONSE_TO_PROTOZOAN	0.00202020202020202	0.0381915093453555	-0.459468906847826	-2.52398967722898	0	21
GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	0.362525458248472	0.633689046578335	-0.148266496245407	-1.07882335845218	177	36
GOBP_VASCULOGENESIS	0.221518987341772	0.499204202163342	-0.120991578432093	-1.20836983711534	104	73
GOBP_GANGLIOSIDE_METABOLIC_PROCESS	0.57029702970297	0.775413265464477	-0.17198580815821	-0.896648322397816	287	19
GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS	0.599613152804642	0.794356174332519	-0.209323340243449	-0.868062310566011	309	12
GOBP_MICROTUBULE_BUNDLE_FORMATION	0.112871287128713	0.349997065670299	-0.155244839174268	-1.40370597175189	56	56
GOBP_OSTEOBLAST_DIFFERENTIATION	0.21980198019802	0.496883837098095	0.0915339165930391	1.2247187160632	110	137
GOBP_UROGENITAL_SYSTEM_DEVELOPMENT	0.0134874759152216	0.11192540600055	0.106012782790563	1.90205548623198	6	253
GOBP_METANEPHROS_DEVELOPMENT	0.009765625	0.0944058785289747	0.265217043728516	2.09153413827528	4	45
GOBP_TEMPERATURE_HOMEOSTASIS	0.623949579831933	0.804108880260271	-0.0669754942295926	-0.857269015938399	296	122
GOBP_FEVER_GENERATION	0.0102040816326531	0.0950924908210753	-0.708040481313252	-1.96438886814172	4	5
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	0.0472589792060491	0.221517952964377	0.0716286931555061	1.53266250932339	24	354
GOBP_ACROSOME_ASSEMBLY	0.0193423597678917	0.136044748810706	-0.424081751980014	-1.75866382155238	9	12
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	0.353846153846154	0.62805464306856	0.125025591810621	1.06045645356456	183	50
