pathway	pval	padj	ES	NES	nMoreExtreme	size
GOCC_NUCLEOTIDE_EXCISION_REPAIR_COMPLEX	0.898608349900596	0.945624977336186	0.144884777928395	0.629527020505571	451	13
GOCC_HISTONE_DEACETYLASE_COMPLEX	0.00575815738963532	0.0648752127056154	-0.206547779102509	-2.17703323696402	2	79
GOCC_RNA_POLYMERASE_I_TRANSCRIPTION_REGULATOR_COMPLEX	0.358381502890173	0.610331290937522	0.387999043748506	1.0846932593937	185	5
GOCC_SAGA_COMPLEX	0.592445328031809	0.782233008873168	0.15641556765309	0.887961454732592	297	23
GOCC_TRANSCRIPTION_FACTOR_TFIIIC_COMPLEX	0.535714285714286	0.746086105675147	-0.301774519179683	-0.92909815327661	269	6
GOCC_GOLGI_CIS_CISTERNA	0.922448979591837	0.955757609747206	-0.179718635421648	-0.621424631167955	451	8
GOCC_GOLGI_TRANS_CISTERNA	0.539419087136929	0.748582314371788	-0.217907829692234	-0.92272288626946	259	12
GOCC_GOLGI_MEMBRANE	0.208416833667335	0.472033175261414	-0.0730325383471255	-1.24365212650283	103	226
GOCC_EXOCYST	0.0678642714570858	0.253234121963563	-0.280481103311352	-1.47320169534813	33	18
GOCC_UBIQUITIN_LIGASE_COMPLEX	0.0202839756592292	0.12994759490435	-0.0972439271779609	-1.79988714446588	9	275
GOCC_NUCLEAR_UBIQUITIN_LIGASE_COMPLEX	0.0796116504854369	0.271195483039168	0.191225210187128	1.46054840935257	40	43
GOCC_CYTOPLASMIC_UBIQUITIN_LIGASE_COMPLEX	0.499005964214712	0.720174222801989	0.218084682242245	0.947581948862266	250	13
GOCC_PROTEIN_PHOSPHATASE_TYPE_2A_COMPLEX	0.525896414342629	0.740744556833838	0.191099058861062	0.923078431457362	263	16
GOCC_PROTEIN_PHOSPHATASE_TYPE_1_COMPLEX	0.727650727650728	0.861836779175489	-0.196379001688736	-0.795089684179637	349	11
GOCC_RIBONUCLEASE_MRP_COMPLEX	0.278455284552846	0.53980208763952	0.348131027337212	1.13553644070579	136	7
GOCC_NUCLEAR_EXOSOME_RNASE_COMPLEX	0.207661290322581	0.471666169714918	0.277751196172249	1.23949108602536	102	14
GOCC_CYTOPLASMIC_EXOSOME_RNASE_COMPLEX	0.293069306930693	0.556345261082125	0.243501608315389	1.13195143828577	147	15
