pathway	pval	padj	ES	NES	nMoreExtreme	size
MP_ABNORMAL_TUMOR_VASCULARIZATION	0.0598290598290598	0.31784188034188	-0.255215899114055	-1.56975416968803	27	25
MP_DECREASED_CIRCULATING_TUMOR_NECROSIS_FACTOR_LEVEL	0.161702127659574	0.523742549059005	-0.162826015432001	-1.27241925063199	75	43
MP_DECREASED_INCIDENCE_OF_INDUCED_TUMORS	0.511152416356877	0.75970695970696	0.24264987244898	0.945732586646991	274	10
MP_DECREASED_INCIDENCE_OF_TUMORS_BY_CHEMICAL_INDUCTION	0.148217636022514	0.523742549059005	0.136167159167454	1.33698097408034	78	71
MP_DECREASED_LIVER_TUMOR_INCIDENCE	0.716101694915254	0.812038834951456	-0.291688580763407	-0.812762732084624	337	5
MP_DECREASED_LUNG_TUMOR_INCIDENCE	0.0317796610169492	0.252450252450252	-0.599107498605467	-1.66935656550066	14	5
MP_DECREASED_METASTATIC_POTENTIAL	0.157170923379175	0.523742549059005	0.24853777843092	1.30213637959762	79	19
MP_DECREASED_TUMOR_GROWTH_SIZE	0.121212121212121	0.470636289370972	0.159422222222222	1.38105483173286	63	54
MP_DECREASED_TUMOR_INCIDENCE	0.953757225433526	0.964150943396226	0.122397910352528	0.586191493637096	494	16
MP_DECREASED_TUMOR_LATENCY	0.256166982922201	0.604713205869275	0.206555568277628	1.17312128473542	134	23
MP_DECREASED_TUMOR_NECROSIS_FACTOR_SECRETION	0.00614754098360656	0.244252873563218	-0.202295223358109	-2.15205373065358	2	79
MP_EMBRYO_TUMOR	0.121387283236994	0.470636289370972	0.295972565595343	1.3588913009446	62	15
MP_INCREASED_B_CELL_DERIVED_LYMPHOMA_INCIDENCE	0.0307101727447217	0.252450252450252	0.206552481048397	1.72270000777938	15	49
MP_INCREASED_T_CELL_DERIVED_LYMPHOMA_INCIDENCE	0.536259541984733	0.75970695970696	0.105319311722533	0.934625419558888	280	57
MP_INCREASED_ACUTE_LYMPHOBLASTIC_LEUKEMIA_INCIDENCE	0.471971066907776	0.74375	0.294185291873982	0.97105683918581	260	7
MP_INCREASED_ADENOCARCINOMA_INCIDENCE	0.0109489051094891	0.244252873563218	0.48602030510817	2.05441378543357	5	12
MP_INCREASED_ADENOMA_INCIDENCE	0.352611940298507	0.668140506018177	0.184197924980048	1.07289327892897	188	24
MP_INCREASED_BASAL_CELL_CARCINOMA_INCIDENCE	0.706214689265537	0.812038834951456	0.262193178195728	0.804510957888018	374	6
MP_INCREASED_BRAIN_TUMOR_INCIDENCE	0.166365280289331	0.523742549059005	0.398353618964123	1.31489920398614	91	7
MP_INCREASED_CARCINOMA_INCIDENCE	0.58125	0.780367231638418	-0.12007334787998	-0.889948166541434	278	39
MP_INCREASED_CHRONIC_MYELOCYTIC_LEUKEMIA_INCIDENCE	0.0366379310344828	0.252450252450252	-0.426132015306122	-1.6876320742533	16	10
MP_INCREASED_CIRCULATING_TUMOR_NECROSIS_FACTOR_LEVEL	0.48125	0.74375	-0.0916159025328632	-0.958472129820908	230	78
MP_INCREASED_COLON_ADENOCARCINOMA_INCIDENCE	0.301486199575372	0.625032364973331	-0.366778238231856	-1.13278079934197	141	6
MP_INCREASED_COLON_ADENOMA_INCIDENCE	0.233050847457627	0.604713205869275	-0.43464817913778	-1.21110617579564	109	5
MP_INCREASED_ENDOMETRIAL_CARCINOMA_INCIDENCE	0.807547169811321	0.891448174467042	0.261311658299466	0.736269276330896	427	5
MP_INCREASED_FIBROSARCOMA_INCIDENCE	0.881040892193309	0.921184260670732	0.168622448979592	0.657209267125211	473	10
MP_INCREASED_GASTROINTESTINAL_TUMOR_INCIDENCE	0.410416666666667	0.726779513888889	-0.196881869105864	-1.02728754584042	196	18
MP_INCREASED_GRANULOSA_CELL_TUMOR_INCIDENCE	0.0836909871244635	0.407869481765835	-0.403356804393074	-1.51178742962587	38	9
MP_INCREASED_HAMARTOMA_INCIDENCE	0.605932203389831	0.780367231638418	-0.316200494063272	-0.881062867695275	285	5
MP_INCREASED_HEMANGIOMA_INCIDENCE	0.25095785440613	0.604713205869275	0.185995985493032	1.16865967768335	130	28
MP_INCREASED_HEMANGIOSARCOMA_INCIDENCE	0.51865671641791	0.75970695970696	0.158333333333333	0.922240406248624	277	24
MP_INCREASED_HEPATOCELLULAR_CARCINOMA_INCIDENCE	0.424474187380497	0.736332774027393	0.114248973464612	1.02131265993568	221	58
MP_INCREASED_HEPATOMA_INCIDENCE	0.361581920903955	0.668140506018177	0.246256892776309	1.0674509929828	191	13
MP_INCREASED_HISTIOCYTIC_SARCOMA_INCIDENCE	0.271398747390397	0.604713205869275	-0.210196266156056	-1.16533981059578	129	20
MP_INCREASED_INCIDENCE_OF_INDUCED_TUMORS	0.127348643006263	0.470636289370972	-0.24578745811393	-1.36265936176361	60	20
MP_INCREASED_INCIDENCE_OF_TUMORS_BY_UV_INDUCTION	0.386617100371747	0.699201138970181	0.268893494897959	1.04801761441629	207	10
MP_INCREASED_INCIDENCE_OF_TUMORS_BY_CHEMICAL_INDUCTION	0.462282398452611	0.74375	0.082732468334878	0.977728086604903	238	104
MP_INCREASED_INCIDENCE_OF_TUMORS_BY_IONIZING_RADIATION_INDUCTION	0.277456647398844	0.604713205869275	0.241186792151858	1.15509852684439	143	16
MP_INCREASED_INTESTINAL_ADENOCARCINOMA_INCIDENCE	0.337099811676083	0.666360092848071	0.253819778817785	1.10023387318475	178	13
MP_INCREASED_INTESTINAL_ADENOMA_INCIDENCE	0.710982658959538	0.812038834951456	0.165656404530228	0.793366283153376	368	16
