pathway	pval	padj	ES	NES	nMoreExtreme	size
DESCARTES_ORGANOGENESIS_NOTOCHORD_CELLS	0.205338809034908	0.270632593213238	0.220743986304152	1.24151791279645	99	22
DESCARTES_ORGANOGENESIS_ENDOTHELIAL_CELLS	0.00196078431372549	0.00428265524625268	-0.168372800425595	-3.01453186963625	0	249
DESCARTES_ORGANOGENESIS_HEPATOCYTES	0.0167014613778706	0.0274765977506903	0.0953279020892493	1.76244126819023	7	261
DESCARTES_ORGANOGENESIS_PREMATURE_OLIGODENDROCYTE	0.775757575757576	0.795248972133394	0.148674040984188	0.75685107580854	383	18
DESCARTES_ORGANOGENESIS_CARDIAC_MUSCLE_LINEAGES	0.00209205020920502	0.00428265524625268	0.449450152512442	5.07944502850383	0	96
DESCARTES_ORGANOGENESIS_EXCITATORY_NEURONS	0.0712945590994371	0.103886357544894	-0.453574559655695	-1.5007996415068	37	7
DESCARTES_ORGANOGENESIS_NEURAL_PROGENITOR_CELLS	0.628458498023715	0.696769204330641	-0.164241263762566	-0.872383952894306	317	20
DESCARTES_ORGANOGENESIS_PRIMITIVE_ERYTHROID_LINEAGE	0.00204918032786885	0.00428265524625268	0.19368399270985	4.52463466329528	0	414
DESCARTES_ORGANOGENESIS_WHITE_BLOOD_CELLS	0.00194174757281553	0.00428265524625268	-0.118228938531172	-2.60992257969156	0	378
DESCARTES_ORGANOGENESIS_EPENDYMAL_CELL	0.0129151291512915	0.0219557195571956	-0.184183100849768	-1.93116886718645	6	80
DESCARTES_ORGANOGENESIS_EPITHELIAL_CELLS	0.00204081632653061	0.00428265524625268	0.249961174849067	2.4013771574339	0	66
DESCARTES_ORGANOGENESIS_MYOCYTES	0.56969696969697	0.638561438561439	0.114621030448369	0.90322359277573	281	44
DESCARTES_ORGANOGENESIS_CHONDROCYTE_PROGENITORS	0.00200803212851406	0.00428265524625268	0.263072682086276	2.04260011578672	0	43
DESCARTES_ORGANOGENESIS_GRANULE_NEURONS	0.794871794871795	0.810769230769231	-0.144978018861235	-0.733209381304681	402	18
DESCARTES_ORGANOGENESIS_POSTMITOTIC_PREMATURE_NEURONS	0.438034188034188	0.519528920691711	0.357446808510638	1.00566400822822	204	5
DESCARTES_ORGANOGENESIS_SENSORY_NEURONS	0.304093567251462	0.375970228601808	-0.140431862738282	-1.11950502948654	155	46
DESCARTES_ORGANOGENESIS_ISTHMIC_ORGANIZER_CELLS	0.74859287054409	0.780612244897959	-0.230914618178506	-0.764056468343487	398	7
DESCARTES_ORGANOGENESIS_STROMAL_CELLS	0.00378787878787879	0.00743006993006993	-0.125844093017049	-2.04198728018806	1	194
DESCARTES_ORGANOGENESIS_OSTEOBLASTS	0.264299802761341	0.332821973847615	0.243108169178829	1.13899198973842	133	15
DESCARTES_ORGANOGENESIS_DEFINITIVE_ERYTHROID_LINEAGE	0.623721881390593	0.695296523517382	0.130635082255231	0.865455011148157	304	32
DESCARTES_ORGANOGENESIS_OLIGODENDROCYTE_PROGENITORS	0.205627705627706	0.270632593213238	0.412947614493678	1.24647429943443	94	6
DESCARTES_ORGANOGENESIS_SCHWANN_CELL_PRECURSOR	0.160714285714286	0.217123935666982	-0.170411897994881	-1.29935980364178	80	43
DESCARTES_ORGANOGENESIS_MEGAKARYOCYTES	0.322649572649573	0.39413480730846	0.0994977361298123	1.11759735747557	150	97
DESCARTES_ORGANOGENESIS_CHOLINERGIC_NEURONS	0.03420523138833	0.0528626303274191	0.269382541456627	1.66397327534659	16	28
