pathway	pval	padj	ES	NES	nMoreExtreme	size
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.00202839756592292	0.00513347022587269	-0.186748017564882	-2.8216952298579	0	172
HALLMARK_HYPOXIA	0.0019723865877712	0.00513347022587269	0.165219691121268	2.41932139552599	0	158
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.00203252032520325	0.00513347022587269	0.289278923138511	2.7336852086445	0	64
HALLMARK_MITOTIC_SPINDLE	0.115768463073852	0.17540676223311	0.0860007339939279	1.3808478487216	57	194
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.256410256410256	0.336832210559298	-0.164310060180007	-1.15264746100095	129	36
HALLMARK_TGF_BETA_SIGNALING	0.310699588477366	0.37890193716752	0.130654133204109	1.10936169926531	150	51
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0136186770428016	0.0283722438391699	-0.213900172193033	-1.87992130600192	6	58
HALLMARK_DNA_REPAIR	0.00196850393700787	0.00513347022587269	0.161482207678652	2.27337037884613	0	146
HALLMARK_G2M_CHECKPOINT	0.00198412698412698	0.00513347022587269	0.207199916318452	3.33339429386406	0	191
HALLMARK_APOPTOSIS	0.262729124236253	0.336832210559298	-0.0859194099918349	-1.15240905134068	128	137
HALLMARK_NOTCH_SIGNALING	0.0612648221343874	0.0957262845849802	0.22978364969746	1.53863768691431	30	31
HALLMARK_ADIPOGENESIS	0.00199600798403194	0.00513347022587269	0.147622035354568	2.33503173015349	0	187
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.0214007782101167	0.0421391357646338	0.118404843251666	1.69692895423136	10	149
HALLMARK_ESTROGEN_RESPONSE_LATE	0.00196463654223969	0.00513347022587269	0.179067962398951	2.50351669059387	0	142
HALLMARK_ANDROGEN_RESPONSE	0.47568710359408	0.515925467957191	0.0921136182438329	0.98942004319312	224	85
HALLMARK_MYOGENESIS	0.00197628458498024	0.00513347022587269	0.234723116548616	3.12673974719548	0	130
HALLMARK_PROTEIN_SECRETION	0.00978473581213307	0.0212711648089849	-0.200726898873413	-2.18735367851036	4	91
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.00189035916824197	0.00513347022587269	-0.316356328400315	-3.38293562377675	0	85
