pathway	pval	padj	ES	NES	nMoreExtreme	size
GIBBONS_GENETIC_MOUSE_MODEL_LUNG_ADENOCARCINOMA_UP_IN_METASTASIS	0.0896946564885496	0.209528646474596	0.374888392857143	1.46065803675562	46	10
GIBBONS_GENETIC_MOUSE_MODEL_LUNG_ADENOCARCINOMA_DOWN_IN_METASTASIS	0.702544031311155	0.798053285241037	-0.266284135586016	-0.798786002276246	358	6
LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_KINASES_DN	0.837675350701403	0.892083185979803	0.126111591080208	0.725557099823272	417	23
HEVNER_TELENCEPHALON_CHOROID_PLEXUS_EPITHELIAL_CELLS	0.542094455852156	0.664428888766606	0.213441450503886	0.926931441508699	263	13
HEVNER_CORTEX_APICAL_AND_BASAL_INTERMEDIATE_PROGENITOR_CELLS	0.00193423597678917	0.0116829340431825	-0.32637546752687	-2.63604325721897	0	46
HEVNER_CORTEX_APICAL_INTERMEDIATE_PROGENITOR_CELLS	0.591603053435115	0.710026312145132	0.225334821428571	0.877960278716757	309	10
HEVNER_CORTEX_BASAL_INTERMEDIATE_PROGENITOR_CELLS	0.503968253968254	0.636552925433739	-0.127113105299282	-0.950819344475061	253	39
HEVNER_CORTEX_INTERNEURON_PRECURSOR_CELLS	0.298624754420432	0.442086731842173	-0.406996573432146	-1.1290647579692	151	5
HEVNER_TELENCEPHALON_VASCULAR_ENDOTHELIUM_AND_MENINGEAL_CELLS	0.0794979079497908	0.19243365461941	0.312310923252785	1.46887512809657	37	15
HEVNER_TELENCEPHALON_MENINGEAL_CELLS	0.00205338809034908	0.0116829340431825	0.480224635366762	3.16821475868357	0	30
HEVNER_TELENCEPHALON_MICROGLIA	0.845401174168297	0.894534905483811	-0.229040484539369	-0.687064336754369	431	6
HEVNER_CORTEX_NEURAL_STEM_AND_PROGENITOR_CELLS	0.401174168297456	0.550743052528419	-0.347465731590692	-1.04231054566773	204	6
HEVNER_CORTEX_NEURAL_STEM_CELLS	0.0629770992366412	0.162878271537623	0.396970663265306	1.54669603194579	32	10
HEVNER_CORTICAL_PLATE_POSTMITOTIC_NEURONS	0.906432748538012	0.931049975807009	0.0609457337575324	0.643264261349154	464	78
HEVNER_INTERMEDIATE_ZONE_AND_UP_POSTMITOTIC_NEURONS	0.136	0.26671360739497	-0.167680159174283	-1.3331811248756	67	45
HEVNER_SUBVENTRICULAR_ZONE_AND_UP_NEURON_FATE_COMMITTED_CELLS	0.68986083499006	0.790735187674491	-0.12997407082184	-0.814636224335924	346	27
HEVNER_VENTRICULAR_ZONE_AND_UP_NEURON_FATE_COMMITTED_CELLS	0.434262948207171	0.577025232403719	-0.253774289172519	-1.02384927213783	217	11
HEVNER_CORTICAL_PLATE_POSTMITOTIC_PROJECTION_NEURONS	0.819502074688797	0.87702869815833	-0.0652171587505349	-0.719283041418883	394	90
HEVNER_INTERMEDIATE_ZONE_AND_UP_POSTMITOTIC_PROJECTION_NEURONS	0.462776659959759	0.604741229330872	0.140065956888387	0.991965863392043	229	35
HEVNER_SUBVENTRICULAR_ZONE_AND_UP_PROJECTION_NEURON_FATE_COMMITTED_CELLS	0.842629482071713	0.894534905483811	-0.172352561733093	-0.695354306604149	422	11
HEVNER_VENTRICULAR_ZONE_AND_UP_PROJECTION_NEURON_FATE_COMMITTED_CELLS	0.803245436105477	0.862818645210951	0.255574149334608	0.721206032135152	395	5
HEVNER_CORTEX_RADIAL_GLIA_PROGENITORS	0.00204918032786885	0.0116829340431825	0.22440014526212	4.98662364932125	0	380
HEVNER_CORTEX_VASCULAR_ENDOTHELIAL_CELLS	0.975206611570248	0.980657097875177	0.104658535049231	0.55113250060198	471	19
HEVNER_CORTEX_COMMITTED_TO_CALLOSAL_PROJECTION_NEURON_FATE	0.265690376569038	0.413032088083173	0.247239280112715	1.16282717704409	126	15
HEVNER_CORTEX_COMMITTED_TO_CORTICOTHALAMIC_PROJECTION_NEURON_FATE	0.292	0.4397712305026	0.284417965833895	1.1407740231674	145	11
