pathway	pval	padj	ES	NES	nMoreExtreme	size
BIOCARTA_RELA_PATHWAY	0.209251101321586	0.71323312702623	-0.270951963208124	-1.24662170809385	94	15
BIOCARTA_CSK_PATHWAY	0.571125265392781	0.836513383665065	-0.248359240069085	-0.909524302793409	268	9
BIOCARTA_SRCRPTP_PATHWAY	0.301645338208409	0.778485491861288	0.295025510204082	1.12681017704193	164	10
BIOCARTA_ARAP_PATHWAY	0.0526315789473684	0.551378446115288	0.409391692577533	1.61515274130037	27	11
BIOCARTA_AGR_PATHWAY	0.645569620253165	0.845388788426763	-0.140104627173593	-0.850508989517451	305	26
BIOCARTA_AKAP95_PATHWAY	0.274223034734918	0.778485491861288	0.30719068877551	1.17327343715234	149	10
BIOCARTA_AKT_PATHWAY	0.359743040685225	0.814950775905223	-0.201444376797598	-1.06159041303404	167	19
BIOCARTA_AT1R_PATHWAY	0.379439252336449	0.814950775905223	0.179382814578345	1.05720329372449	202	24
BIOCARTA_ACE2_PATHWAY	0.150093808630394	0.659423004870738	0.462825723165192	1.28037393633883	79	5
BIOCARTA_DNAFRAGMENT_PATHWAY	0.917197452229299	0.993726992712794	-0.170196182631416	-0.62328087452224	431	9
BIOCARTA_CHEMICAL_PATHWAY	0.845871559633028	0.954316631380852	0.131186626958803	0.666482464878187	460	18
BIOCARTA_ATM_PATHWAY	0.434862385321101	0.814950775905223	0.19993086577324	1.01573170463194	236	18
BIOCARTA_AGPCR_PATHWAY	0.959780621572212	0.998493737117489	0.144052933673469	0.550190766838188	524	10
BIOCARTA_BCELLSURVIVAL_PATHWAY	1	1	0.0885408358589887	0.420898589974716	540	16
BIOCARTA_BCR_PATHWAY	0.694092827004219	0.882661398502475	-0.134596964338344	-0.817074570918224	328	26
BIOCARTA_BIOPEPTIDES_PATHWAY	0.174397031539889	0.68922305764411	0.213166254290047	1.28284799458544	93	25
BIOCARTA_CDMAC_PATHWAY	0.299270072992701	0.778485491861288	0.249190525560252	1.14382063818868	163	15
BIOCARTA_CASPASE_PATHWAY	0.253863134657837	0.775692911454501	-0.224445508217648	-1.20800400753284	114	20
BIOCARTA_CBL_PATHWAY	0.478976234003656	0.814950775905223	0.252439413265306	0.964158318909689	261	10
BIOCARTA_CCR3_PATHWAY	0.209259259259259	0.71323312702623	0.277773980405559	1.22519471063871	112	14
BIOCARTA_CD40_PATHWAY	0.0523012552301255	0.551378446115288	-0.355596719682518	-1.56219950991167	24	13
BIOCARTA_MCM_PATHWAY	0.402671755725191	0.814950775905223	0.243803401765287	1.03969076055173	210	13
BIOCARTA_G1_PATHWAY	0.45607476635514	0.814950775905223	0.170158286778398	1.00283799013574	243	24
BIOCARTA_G2_PATHWAY	0.120300751879699	0.587359943977591	0.247677559813521	1.34270426635635	63	21
BIOCARTA_CELL2CELL_PATHWAY	0.699619771863118	0.884576723045321	0.271092338752524	0.816490327158479	367	6
BIOCARTA_CERAMIDE_PATHWAY	0.948669201520912	0.998493737117489	0.105656791341439	0.590311560367933	498	22
BIOCARTA_VDR_PATHWAY	0.722433460076046	0.897230971745569	0.142943156428634	0.798632976110547	379	22
BIOCARTA_HDAC_PATHWAY	0.218415417558887	0.728051391862955	-0.237839313081267	-1.25338785139365	101	19
BIOCARTA_GCR_PATHWAY	0.911255411255411	0.993726992712794	-0.141854636591479	-0.642765261214518	420	14
BIOCARTA_CTCF_PATHWAY	0.00425531914893617	0.187234042553191	-0.403650553016228	-2.24484666007706	1	21
BIOCARTA_CTL_PATHWAY	0.00630252100840336	0.23109243697479	-0.650435660397407	-1.99594833835365	2	6
BIOCARTA_CXCR4_PATHWAY	0.225688073394495	0.739880952380952	0.238123094377083	1.20976406333473	122	18
BIOCARTA_CELLCYCLE_PATHWAY	0.338345864661654	0.814950775905223	0.199978722838373	1.08412035606998	179	21
BIOCARTA_CFTR_PATHWAY	0.480225988700565	0.814950775905223	0.262689872016297	0.954214979078533	254	9
BIOCARTA_CYTOKINE_PATHWAY	0.046218487394958	0.551378446115288	-0.518489002231431	-1.59105246755101	21	6
BIOCARTA_INFLAM_PATHWAY	0.273885350318471	0.778485491861288	-0.315291616846021	-1.15463949683819	128	9
BIOCARTA_D4GDI_PATHWAY	0.538461538461538	0.836513383665065	-0.243016581632653	-0.943305700674122	244	10
BIOCARTA_P35ALZHEIMERS_PATHWAY	0.352941176470588	0.814950775905223	-0.348847093826373	-1.07048370754585	167	6
BIOCARTA_RNA_PATHWAY	0.747346072186836	0.903385361984088	-0.20958327797706	-0.767521613958148	351	9
BIOCARTA_MTA3_PATHWAY	0.00184842883548983	0.154385964912281	0.495523608230978	2.35558187338288	0	16
BIOCARTA_SKP2E2F_PATHWAY	0.618773946360153	0.838230545689377	0.253327753865774	0.863973144785063	322	8
BIOCARTA_CALCINEURIN_PATHWAY	0.0151843817787419	0.37117377681369	-0.379994815760089	-1.80321692937547	6	16
BIOCARTA_EGF_PATHWAY	0.494758909853249	0.830892825707747	-0.151387970164914	-0.954120211230275	235	28
BIOCARTA_NDKDYNAMIN_PATHWAY	0.561302681992337	0.836513383665065	0.220605432413756	0.904369657729784	292	12
BIOCARTA_EPHA4_PATHWAY	0.0484210526315789	0.551378446115288	-0.484976488403602	-1.59101364676334	22	7
BIOCARTA_EPO_PATHWAY	0.579617834394904	0.836513383665065	-0.181523865827738	-0.897059535246224	272	17
BIOCARTA_ECM_PATHWAY	0.429872495446266	0.814950775905223	0.188519227700654	1.00639995125268	235	20
BIOCARTA_ERK_PATHWAY	0.158878504672897	0.670003850596843	0.221129289704709	1.30323862943221	84	24
BIOCARTA_ERYTH_PATHWAY	0.113684210526316	0.587359943977591	-0.421387013401041	-1.38240204405943	53	7
BIOCARTA_EPONFKB_PATHWAY	0.01875	0.382978723404255	-0.494380679100909	-1.72977925791476	8	8
BIOCARTA_EIF_PATHWAY	0.288135593220339	0.778485491861288	0.31702758956645	1.15159550089811	152	9
BIOCARTA_EXTRINSIC_PATHWAY	0.569296375266525	0.836513383665065	-0.32467925731134	-0.907092029620338	266	5
BIOCARTA_FAS_PATHWAY	0.9958071278826	1	-0.0844191361474031	-0.521982703693698	474	27
