pathway	pval	padj	ES	NES	nMoreExtreme	size
BIOCARTA_RELA_PATHWAY	0.196039603960396	0.479702193278352	-0.270951963208124	-1.26244763035433	98	15
BIOCARTA_CSK_PATHWAY	0.576305220883534	0.789280744405922	-0.248359240069085	-0.8972998097217	286	9
BIOCARTA_SRCRPTP_PATHWAY	0.27906976744186	0.576419542536116	0.295025510204082	1.13609076365634	143	10
BIOCARTA_ARAP_PATHWAY	0.047244094488189	0.218634342631461	0.409391692577533	1.63785052234343	23	11
BIOCARTA_AGR_PATHWAY	0.640562248995984	0.819716725988622	-0.140104627173593	-0.852002176332519	318	26
BIOCARTA_AKAP95_PATHWAY	0.242248062015504	0.53625887759365	0.30719068877551	1.18293670251658	124	10
BIOCARTA_AKT_PATHWAY	0.369565217391304	0.660355875655351	-0.201444376797598	-1.04121071267953	186	19
BIOCARTA_AT1R_PATHWAY	0.41010101010101	0.691515151515151	0.179382814578345	1.04181427275376	202	24
BIOCARTA_ACE2_PATHWAY	0.197505197505198	0.479702193278352	0.462825723165192	1.26607388482826	94	5
BIOCARTA_DNAFRAGMENT_PATHWAY	0.927710843373494	0.971663303586057	-0.170196182631416	-0.614903646218472	461	9
BIOCARTA_CHEMICAL_PATHWAY	0.888211382113821	0.957177639011745	0.131186626958803	0.661287494395842	436	18
BIOCARTA_ATM_PATHWAY	0.475609756097561	0.727585386824726	0.19993086577324	1.00781447274421	233	18
BIOCARTA_AGPCR_PATHWAY	0.968992248062015	0.987160852713178	0.144052933673469	0.554722224904617	499	10
BIOCARTA_BCELLSURVIVAL_PATHWAY	0.998050682261209	1	0.0885408358589887	0.428750393902883	511	16
BIOCARTA_BCR_PATHWAY	0.700803212851406	0.847800344750056	-0.134596964338344	-0.818509058961571	348	26
BIOCARTA_BIOPEPTIDES_PATHWAY	0.193089430894309	0.477044082677885	0.213166254290047	1.25876147092989	94	25
BIOCARTA_CDMAC_PATHWAY	0.277665995975855	0.575680194731334	0.249190525560252	1.15602778581299	137	15
BIOCARTA_CASPASE_PATHWAY	0.252465483234714	0.549505732797219	-0.224445508217648	-1.18891515648849	127	20
BIOCARTA_CBL_PATHWAY	0.484496124031008	0.728233415935951	0.252439413265306	0.972099279127261	249	10
BIOCARTA_CCR3_PATHWAY	0.191056910569106	0.476990660671048	0.277773980405559	1.24562770691588	93	14
BIOCARTA_CD40_PATHWAY	0.0717131474103586	0.281734662099035	-0.355596719682518	-1.55659621702567	35	13
BIOCARTA_MCM_PATHWAY	0.358	0.647578298397041	0.243803401765287	1.05285343064009	178	13
BIOCARTA_G1_PATHWAY	0.460606060606061	0.720372165148285	0.170158286778398	0.988240329541935	227	24
BIOCARTA_G2_PATHWAY	0.134419551934827	0.395177320016816	0.247677559813521	1.33097889043527	65	21
BIOCARTA_CELL2CELL_PATHWAY	0.675510204081633	0.838387029938879	0.271092338752524	0.8206427734851	330	6
BIOCARTA_CERAMIDE_PATHWAY	0.960079840319361	0.985564729965516	0.105656791341439	0.58509550252975	480	22
BIOCARTA_VDR_PATHWAY	0.730538922155689	0.87059350024565	0.142943156428634	0.791576167342858	365	22
BIOCARTA_HDAC_PATHWAY	0.213438735177866	0.506841120299429	-0.237839313081267	-1.22932615252583	107	19
BIOCARTA_GCR_PATHWAY	0.890196078431372	0.957417629808522	-0.141854636591479	-0.643072249274776	453	14
BIOCARTA_CTCF_PATHWAY	0.00195694716242661	0.0324571883711669	-0.403650553016228	-2.21489828222211	0	21
BIOCARTA_CTL_PATHWAY	0.0078125	0.0727272727272727	-0.650435660397407	-1.99628611216238	3	6
BIOCARTA_CXCR4_PATHWAY	0.215447154471545	0.507177033492823	0.238123094377083	1.20033442500093	105	18
BIOCARTA_CELLCYCLE_PATHWAY	0.329938900203666	0.626158300903982	0.199978722838373	1.07465310476444	161	21
BIOCARTA_CFTR_PATHWAY	0.48015873015873	0.727673983088787	0.262689872016297	0.966436233605265	241	9
BIOCARTA_CYTOKINE_PATHWAY	0.04296875	0.20872568294702	-0.518489002231431	-1.59132172093875	21	6
BIOCARTA_INFLAM_PATHWAY	0.303212851405622	0.599347916644414	-0.315291616846021	-1.13912052446322	150	9
BIOCARTA_D4GDI_PATHWAY	0.559670781893004	0.780104211299504	-0.243016581632653	-0.92782947468302	271	10
BIOCARTA_P35ALZHEIMERS_PATHWAY	0.361328125	0.650390625	-0.348847093826373	-1.07066486522019	184	6
BIOCARTA_RNA_PATHWAY	0.775100401606426	0.895804220439893	-0.20958327797706	-0.757205712971884	385	9
BIOCARTA_MTA3_PATHWAY	0.00194931773879142	0.0324571883711669	0.495523608230978	2.3995249215353	0	16
BIOCARTA_SKP2E2F_PATHWAY	0.601980198019802	0.800693556212235	0.253327753865774	0.875066920436245	303	8
BIOCARTA_CALCINEURIN_PATHWAY	0.016359918200409	0.112676056338028	-0.379994815760089	-1.80484002573724	7	16
BIOCARTA_EGF_PATHWAY	0.483101391650099	0.728233415935951	-0.151387970164914	-0.965854425689644	242	28
BIOCARTA_NDKDYNAMIN_PATHWAY	0.563894523326572	0.783364834962198	0.220605432413756	0.910398901951535	277	12
BIOCARTA_EPHA4_PATHWAY	0.0454545454545455	0.214835567158002	-0.484976488403602	-1.57663285275557	22	7
BIOCARTA_EPO_PATHWAY	0.569721115537849	0.787122736418511	-0.181523865827738	-0.887936431468831	285	17
BIOCARTA_ECM_PATHWAY	0.438383838383838	0.705937531184513	0.188519227700654	1.00201007613326	216	20
BIOCARTA_ERK_PATHWAY	0.163636363636364	0.438856573043045	0.221129289704709	1.28426823204768	80	24
BIOCARTA_ERYTH_PATHWAY	0.128458498023715	0.386958144970822	-0.421387013401041	-1.36990684072035	64	7
BIOCARTA_EPONFKB_PATHWAY	0.0261569416498994	0.156621360817969	-0.494380679100909	-1.70223926431287	12	8
BIOCARTA_EIF_PATHWAY	0.265873015873016	0.563090909090909	0.31702758956645	1.16634473669601	133	9
BIOCARTA_EXTRINSIC_PATHWAY	0.575815738963532	0.789280744405922	-0.32467925731134	-0.907242367529317	299	5
BIOCARTA_FAS_PATHWAY	0.987975951903808	0.994585436364067	-0.0844191361474031	-0.522875106068742	492	27
BIOCARTA_FCER1_PATHWAY	0.0711462450592885	0.280568659951549	-0.223831057339083	-1.51942036297593	35	32
BIOCARTA_FIBRINOLYSIS_PATHWAY	0.00623700623700624	0.0631012975840562	0.738082715754243	2.01904778513366	2	5
BIOCARTA_FMLP_PATHWAY	0.700803212851406	0.847800344750056	-0.134596964338344	-0.818509058961571	348	26
BIOCARTA_FREE_PATHWAY	1	1	-0.124202933205803	-0.427652452013789	496	8
BIOCARTA_GABA_PATHWAY	0.424184261036468	0.70215229743083	-0.364809945015539	-1.01937845045877	220	5
BIOCARTA_GATA3_PATHWAY	0.48015873015873	0.727673983088787	0.262689872016297	0.966436233605265	241	9
BIOCARTA_SET_PATHWAY	0.512871287128713	0.751630547670152	0.274011637175195	0.946515002196083	258	8
BIOCARTA_GH_PATHWAY	0.56686626746507	0.786004550445423	0.164176072889766	0.909157666546743	283	22
BIOCARTA_HIVNEF_PATHWAY	0.178	0.460539682539683	-0.144358262659742	-1.26998336619285	88	53
BIOCARTA_MPR_PATHWAY	0.0609756097560976	0.259243424427951	0.34086352244247	1.52854146817988	29	14
BIOCARTA_HCMV_PATHWAY	0.304780876494024	0.599347916644414	-0.229616804845891	-1.12318633899973	152	17
BIOCARTA_IGF1_PATHWAY	0.480651731160896	0.727673983088787	0.179339876060534	0.963743301692598	235	21
BIOCARTA_IL2_PATHWAY	0.885375494071146	0.955736460487396	-0.131942140952701	-0.681972725165007	447	19
