pathway	pval	padj	ES	NES	nMoreExtreme	size
REACTOME_INTERLEUKIN_6_SIGNALING	0.30952380952381	0.576598104456544	-0.303068951773615	-1.11032234120933	155	9
REACTOME_APOPTOSIS	0.0755467196819085	0.257958577648036	-0.137736792234632	-1.49316441542141	37	86
REACTOME_HEMOSTASIS	0.00205338809034908	0.0234157986111111	0.111356395294989	2.34626242551198	0	354
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	0.239263803680982	0.498389274462894	-0.16373839686135	-1.19102579860665	116	37
REACTOME_MAPK3_ERK1_ACTIVATION	0.873015873015873	0.937831557368041	-0.185377086931491	-0.679146840888164	439	9
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	0.0311284046692607	0.143436357593885	0.225667660346046	1.66124803730691	15	39
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	0.00193798449612403	0.0234157986111111	0.366868944959012	2.40721727058926	0	30
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	0.00819672131147541	0.0605372045725507	0.375332227657296	1.94759109541589	3	19
REACTOME_CLEAVAGE_OF_THE_DAMAGED_PYRIMIDINE	0.367112810707457	0.626946662114607	-0.327739129444717	-1.08442538936635	191	7
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	0.427710843373494	0.686480345376051	0.280076170231611	1.01913382145337	212	9
REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	0.451546391752577	0.697057790885472	0.279850151442691	0.982624906613499	218	8
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	0.00198019801980198	0.0234157986111111	0.378079276403299	2.2105106255202	0	24
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.454909819639279	0.697057790885472	-0.23263169085207	-0.983788346414043	226	12
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS	0.193116634799235	0.445948850204169	-0.379908686197042	-1.25704436223682	100	7
REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA	0.730401529636711	0.852249310535025	-0.237586674105364	-0.786128351568789	381	7
REACTOME_FORMATION_OF_APOPTOSOME	0.515873015873016	0.736279079533048	-0.258305655196847	-0.946327685984827	259	9
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	0.223340040241449	0.478548085901027	-0.39403357772819	-1.20067864456481	110	6
REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE	0.327345309381238	0.586720247213215	-0.274452247903575	-1.10801740289873	163	11
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	0.630390143737166	0.801167214478684	-0.134228095533072	-0.863105428630459	306	29
REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE	0.176352705410822	0.42474234182651	-0.456450713204239	-1.28289362729441	87	5
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE	0.413592233009709	0.673453608247423	-0.206292869676184	-1.0213394766586	212	16
REACTOME_OPIOID_SIGNALLING	0.267465069860279	0.5359297620265	0.137947159223755	1.16774525111289	133	52
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB	0.261758691206544	0.530197444831591	0.268045112781955	1.19251585213955	127	14
REACTOME_CAM_PDE_1_ACTIVATION	0.351888667992048	0.610490353697749	0.390867798230935	1.10195634833118	176	5
REACTOME_CA_DEPENDENT_EVENTS	0.0889748549323017	0.279894660268086	0.254794997533587	1.45284801027223	45	22
REACTOME_G_PROTEIN_MEDIATED_EVENTS	0.12770137524558	0.349720263680153	0.203731432678486	1.37229085555441	64	32
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	0.624254473161034	0.798069403484307	0.311227986293729	0.877431338234915	313	5
