pathway	pval	padj	ES	NES	nMoreExtreme	size
WP_HYPOXIADEPENDENT_PROLIFERATION_OF_MYOBLASTS	0.61010101010101	0.770653907496013	0.215418958781791	0.879269175034873	301	11
WP_INFLAMMATORY_RESPONSE_PATHWAY	0.0594262295081967	0.277322404371585	0.303180174430972	1.54303543420028	28	18
WP_OMEGA3_OMEGA6_FATTY_ACID_SYNTHESIS	0.185858585858586	0.446060606060606	0.308139998405485	1.25772589249067	91	11
WP_ELECTRON_TRANSPORT_CHAIN	0.0020703933747412	0.0300429184549356	0.283428833628041	3.12561822538221	0	86
WP_GLUTATHIONE_AND_ONECARBON_METABOLISM	0.823779193205945	0.93093569689715	0.124374833732376	0.724586820463105	387	24
WP_BDNF_PATHWAY	0.416161616161616	0.60559796437659	0.252005827227066	1.02860471085265	205	11
WP_ID_SIGNALING_PATHWAY	0.498091603053435	0.691565200933695	-0.128425089569561	-0.967393248400153	260	38
WP_FACTORS_AND_PATHWAYS_AFFECTING_INSULINLIKE_GROWTH_FACTOR_IGF1AKT_SIGNALING	0.348968105065666	0.60559796437659	-0.183801563427049	-1.0798071255734	185	23
WP_SEROTONIN_AND_ANXIETYRELATED_EVENTS	0.162698412698413	0.433862433862434	-0.475511992987489	-1.31297375733651	81	5
WP_GLUCURONIDATION	0.192872117400419	0.453333333333333	0.382766512199843	1.249497477255	91	7
WP_ETHANOL_METABOLISM_RESULTING_IN_PRODUCTION_OF_ROS_BY_CYP2E1	0.8625	0.938721466024045	0.187538195828351	0.684506096634224	413	9
WP_SPLICING_FACTOR_NOVA_REGULATED_SYNAPTIC_PROTEINS	0.69017094017094	0.840208101077666	0.128595223346411	0.826040726686708	322	29
WP_OXIDATIVE_STRESS_AND_REDOX_PATHWAY	0.305327868852459	0.557555238774056	0.121311212967787	1.12500123689182	148	61
WP_LEPTIN_AND_ADIPONECTIN	1	1	-0.121991072851905	-0.424130539322363	527	8
WP_APOE_AND_MIR146_IN_INFLAMMATION_AND_ATHEROSCLEROSIS	0.194285714285714	0.453333333333333	-0.38192396588826	-1.25397110988753	101	7
