pathway	pval	padj	ES	NES	nMoreExtreme	size
ND5_UNIPROT_A0A023J5X2_UNREVIEWED_TARGET_GENES	0.1	0.279334316410364	0.0566921852272743	1.42457647793069	49	492
ZFP961_TARGET_GENES	0.629554655870445	0.768470471954534	0.0433788092402634	0.851207203289405	310	292
ZFP872_TARGET_GENES	0.257309941520468	0.449413925349754	-0.205750152929599	-1.15302434391434	131	21
ZFP810_TARGET_GENES	0.539525691699605	0.677665120009165	-0.0436845165493678	-0.923071462616736	272	346
ZFP935_TARGET_GENES	0.245398773006135	0.449413925349754	0.0400541013487342	1.14802039123309	119	636
ZFP493_TARGET_GENES	0.317307692307692	0.518867924528302	-0.0582135390677362	-1.10566711258696	164	271
ZFP335_TARGET_GENES	0.0532786885245902	0.200760275599905	0.101907608507495	1.56932437717213	25	175
ZFP534_TARGET_GENES	0.534246575342466	0.677665120009165	-0.164212343672925	-0.936122482688026	272	22
ZFP984_TARGET_GENES	0.524291497975709	0.671506352087114	0.0834731269381104	0.945849678454022	258	97
ZFP981_TARGET_GENES	0.680232558139535	0.793096256126812	0.177207113804929	0.841130576873679	350	15
DMRTB1_TARGET_GENES	0.0721442885771543	0.231574259630372	-0.0432159806077282	-1.48688666824709	35	1016
MLLT3_TARGET_GENES	0.404715127701375	0.568789499270783	-0.0333043037439999	-1.0411778729489	205	813
RTF1_TARGET_GENES	0.300613496932515	0.494680437990215	0.0623911717689588	1.12584098351099	146	239
GM14419_GM2004_TARGET_GENES	0.678068410462777	0.793096256126812	-0.0824168087736041	-0.842598748691868	336	82
GM14418_TARGET_GENES	0.365422396856582	0.547535749465032	-0.308066315957277	-1.0635389529226	185	8
GM14412_TARGET_GENES	0.730612244897959	0.826602509022169	0.0302146800521665	0.802251334139321	357	555
GM6710_GM14391_TARGET_GENES	0.37015503875969	0.547535749465032	0.219576255416434	1.04223977480666	190	15
GM14401_TARGET_GENES	0.261569416498994	0.449413925349754	0.118450578280932	1.19495504565996	129	76
GM14410_TARGET_GENES	0.195473251028807	0.407864877625306	0.231825434817297	1.24740729161697	94	20
GM14393_TARGET_GENES	0.730994152046784	0.826602509022169	-0.125699989353774	-0.808222359335821	374	30
GM14443_UNIPROT_A2ARX0_UNREVIEWED_TARGET_GENES	0.787992495309568	0.853658536585366	-0.275814805960634	-0.758475373213822	419	5
REX2_TARGET_GENES	0.352720450281426	0.542646846586809	-0.389863734162085	-1.07210358139122	187	5
ZFP973_ZFP965_TARGET_GENES	0.495126705653021	0.650166381160533	-0.0541721240043013	-0.960212905640097	253	239
GM14326_TARGET_GENES	0.957746478873239	0.965170870182334	0.048682421995675	0.574469610563216	475	104
GM14406_TARGET_GENES	0.352112676056338	0.542646846586809	-0.0513057857964915	-1.07019869664958	174	338
ARID1A_TARGET_GENES	0.259183673469388	0.449413925349754	-0.0295140068829588	-1.1605886755726	126	1392
ARID4B_TARGET_GENES	0.203703703703704	0.41243901709018	0.0486974280096573	1.22481476940043	98	501
ZBTB16_UNIPROT_A3KMN0_UNREVIEWED_TARGET_GENES	0.424547283702213	0.587139860439231	-0.200391760618308	-1.02419241190457	210	18
ZFP992_TARGET_GENES	0.160984848484848	0.377081627081627	-0.0439867097815124	-1.29425565658195	84	702
ZFP990_TARGET_GENES	0.259405940594059	0.449413925349754	-0.117493103651901	-1.17026911025044	130	76
ZFP970_TARGET_GENES	0.262948207171315	0.449413925349754	0.356192146102085	1.17692965320139	131	7
ZFP456_TARGET_GENES	0.175050301810865	0.395765899746304	0.135253499460334	1.27562832725007	86	67
ZFP738_TARGET_GENES	0.55705996131528	0.696324951644101	-0.123993127696979	-0.931233582551621	287	40
ZFP595_TARGET_GENES	0.731225296442688	0.826602509022169	-0.0349825568103378	-0.792551126242056	369	411
NLRC5_TARGET_GENES	0.00408163265306122	0.0393849882602439	0.0538493666946367	1.97879033337828	1	1141
ZFP617_TARGET_GENES	0.874509803921569	0.916824794433903	-0.0765138019089494	-0.679773584796551	445	57
ZFP882_TARGET_GENES	0.36094674556213	0.547535749465032	-0.111072417335585	-1.07659912012879	182	69
ZFP467_TARGET_GENES	0.637295081967213	0.770682424704537	0.0366143508220691	0.856139994490184	310	424
ZFP599_TARGET_GENES	0.896969696969697	0.925444925444926	-0.0406357388316151	-0.647682480174953	443	194
ZFP712_TARGET_GENES	0.457593688362919	0.61965811965812	-0.0619277331913796	-0.98569009837293	231	191
ZFP58_TARGET_GENES	0.888888888888889	0.922559760956175	0.0666887902229139	0.648730568678834	447	70
TOX2_TARGET_GENES	0.001953125	0.0290535255335792	-0.0776459712087788	-2.35121278113444	0	768
GM20449_UNIPROT_E9Q3U2_UNREVIEWED_TARGET_GENES	0.106339468302658	0.291034334302013	-0.28655886106237	-1.38982585987064	51	16
