pathway	pval	padj	ES	NES	nMoreExtreme	size
MIR_92A_3P_MIR_92B_3P	0.00198019801980198	0.00680433203877364	-0.14760723783046	-2.91065844388082	0	281
MIR_100_5P_MIR_99A_5P	0.6699604743083	0.742772898847273	-0.190065814896371	-0.824069349658946	338	13
MIR_129_1_3P_MIR_129_2_3P	0.00809716599190283	0.0213024916748528	-0.203049975591452	-2.13068937010024	3	77
MIR_30A_3P_MIR_30E_3P	0.0021505376344086	0.00680433203877364	-0.157648177264864	-2.56761929547663	0	193
MIR_146A_5P_MIR_146B_5P	0.00198807157057654	0.00680433203877364	-0.264265816395861	-2.57828860332158	0	66
MIR_30A_5P_MIR_30E_5P	0.00189393939393939	0.00680433203877364	-0.183817431197476	-4.79564278030298	0	506
MIR_30B_5P_MIR_30C_5P	0.0019047619047619	0.00680433203877364	-0.180630733233901	-4.74027840611808	0	513
MIR_411_5P_MIR_7229_5P	0.00194931773879142	0.00680433203877364	-0.409704667547727	-2.52051319079533	0	27
MIR_3079_3P_MIR_7080_3P	0.147843942505133	0.229549582177153	-0.158330058571455	-1.28183295300833	71	47
MIR_130A_3P_MIR_721	0.0020703933747412	0.00680433203877364	-0.232290263188662	-4.0722024245366	0	217
MIR_301A_3P_MIR_301B_3P	0.00206185567010309	0.00680433203877364	-0.233879508323516	-4.11341541968124	0	218
MIR_379_3P_MIR_411_3P	0.00210084033613445	0.00680433203877364	-0.283787784307427	-3.40775611493869	0	102
MIR_200B_3P_MIR_429_3P	0.002	0.00680433203877364	-0.180372220478624	-3.60995742620266	0	295
MIR_486A_5P_MIR_486B_5P	0.367139959432049	0.468851325971001	-0.145439101108476	-1.06637311445428	180	38
MIR_106A_3P_MIR_17_3P	0.00207900207900208	0.00680433203877364	-0.207415708739627	-2.36195757947469	0	91
MIR_299A_3P_MIR_299B_3P	0.0162271805273834	0.0370048402502764	-0.25201846899127	-1.84782302441333	7	38
MIR_465A_3P_MIR_465B_3P_MIR_465C_3P	0.61010101010101	0.691528035117779	-0.19440647072226	-0.871977210971255	301	14
MIR_6358_MIR_6376	0.517647058823529	0.610412810815161	-0.145938464814223	-0.941629442212481	263	30
LET_7A_5P_LET_7C_5P_LET_7E_5P_MIR_98_5P	0.00200400801603206	0.00680433203877364	-0.134479894331195	-2.61785994213061	0	269
LET_7B_5P_LET_7K	0.00199203187250996	0.00680433203877364	-0.134028295766811	-2.60476751609023	0	268
MIR_466B_5P_MIR_466O_5P	0.235772357723577	0.33276225661444	-0.147088472073525	-1.18165619375675	115	46
MIR_378A_3P_MIR_378C	0.00778210116731518	0.021061762028966	-0.323859170841929	-1.94846286859905	3	26
MIR_6948_3P_MIR_7117_3P	0.00425531914893617	0.0120977362356673	-0.180739682652655	-2.12020456207507	1	97
MIR_362_5P_MIR_500_5P	0.332068311195446	0.433701339773446	-0.186186485767491	-1.09647762899316	174	24
MIR_500_3P_MIR_501_3P	0.0241935483870968	0.0509898256960328	-0.218057331628303	-1.69024440611005	11	42
MIR_1193_5P_MIR_379_5P	0.118110236220472	0.191915218891701	-0.208766836762293	-1.36717360383439	59	31
MIR_466J_MIR_466M_5P_MIR_669M_5P	0.119402985074627	0.193287085698269	-0.10164147184643	-1.37766872387474	55	133
MIR_344_3P_MIR_344C_3P	0.278719397363465	0.380092248932539	-0.221743600652343	-1.13561309433016	147	18
MIR_103_3P_MIR_107_3P	0.00202020202020202	0.00680433203877364	-0.18650849799744	-2.71616223871769	0	151
MIR_27A_3P_MIR_27B_3P	0.00199203187250996	0.00680433203877364	-0.19504458089216	-4.43642207386968	0	388
MIR_466A_3P_MIR_466D_3P_MIR_466E_3P	0.00196463654223969	0.00680433203877364	-0.187446671005024	-4.70731433496194	0	481
MIR_297A_3P_MIR_297B_3P_MIR_297C_3P	0.00193050193050193	0.00680433203877364	-0.186258058296456	-4.77406257663091	0	491
MIR_486A_3P_MIR_486B_3P	0.075187969924812	0.131598030609519	0.123706374671137	1.43560005092519	39	97
MIR_669A_5P_MIR_669L_5P_MIR_669P_5P	0.00207900207900208	0.00680433203877364	-0.315311882151674	-2.32553172895618	0	39
MIR_10A_5P_MIR_10B_5P	0.14792899408284	0.229549582177153	-0.143725286724859	-1.31703784908275	74	59
MIR_5620_5P_MIR_7689_5P	0.742331288343558	0.805906260141243	0.257889703538412	0.796725180581077	362	6
