pathway	pval	padj	ES	NES	nMoreExtreme	size
GOCC_NUCLEOTIDE_EXCISION_REPAIR_COMPLEX	0.953907815631262	0.974969681524185	-0.132408776137346	-0.58282259743414	475	13
GOCC_HISTONE_DEACETYLASE_COMPLEX	0.00198019801980198	0.0384227765180146	-0.206102331244768	-2.09981615835701	0	79
GOCC_RNA_POLYMERASE_I_TRANSCRIPTION_REGULATOR_COMPLEX	0.303846153846154	0.624209789064845	0.394692804207507	1.11629353341854	157	5
GOCC_SAGA_COMPLEX	0.79	0.901422187106491	0.130400086047472	0.745894667704523	394	23
GOCC_TRANSCRIPTION_FACTOR_TFIIIC_COMPLEX	0.559118236472946	0.796874122075928	-0.296833492721284	-0.921565331475403	278	6
GOCC_GOLGI_CIS_CISTERNA	0.884990253411306	0.951546512187244	-0.18061533556512	-0.643551639661848	453	8
GOCC_GOLGI_TRANS_CISTERNA	0.798792756539235	0.905495633060359	0.180898846542285	0.754304487498877	396	12
GOCC_GOLGI_MEMBRANE	0.3158953722334	0.640896376038939	-0.0621292345506021	-1.08737454473942	156	226
GOCC_EXOCYST	0.0583501006036217	0.259176417729679	-0.29539814223924	-1.51768367592109	28	18
GOCC_UBIQUITIN_LIGASE_COMPLEX	0.044806517311609	0.222415979708307	-0.0820792335769125	-1.59282695856723	21	275
GOCC_NUCLEAR_UBIQUITIN_LIGASE_COMPLEX	0.204771371769384	0.531973711960146	0.163489617508685	1.25168031405797	102	43
GOCC_CYTOPLASMIC_UBIQUITIN_LIGASE_COMPLEX	0.841683366733467	0.930388717154252	-0.16058098667141	-0.706827979840914	419	13
GOCC_PROTEIN_PHOSPHATASE_TYPE_2A_COMPLEX	0.60081466395112	0.810929766727447	-0.179344791832828	-0.869545359080906	294	16
GOCC_PROTEIN_PHOSPHATASE_TYPE_1_COMPLEX	0.727454909819639	0.881377952755906	-0.191436005595298	-0.779674264243455	362	11
GOCC_RIBONUCLEASE_MRP_COMPLEX	0.381422924901186	0.702217256105805	0.321431417868813	1.0524606412126	192	7
GOCC_NUCLEAR_EXOSOME_RNASE_COMPLEX	0.366990291262136	0.68773639802153	0.237400318979266	1.08239777280375	188	14
GOCC_CYTOPLASMIC_EXOSOME_RNASE_COMPLEX	0.294695481335953	0.617039737808688	0.24294335008108	1.13758440587843	149	15
GOCC_VACUOLAR_PROTON_TRANSPORTING_V_TYPE_ATPASE_V1_DOMAIN	0.138276553106212	0.418868368734959	-0.431542875358623	-1.33979137370842	68	6
GOCC_NUCLEAR_CHROMOSOME	0.0783132530120482	0.308864769422518	0.0936763949248469	1.48586794706131	38	199
GOCC_PERICENTRIOLAR_MATERIAL	0.097609561752988	0.342194440628291	-0.248146336216618	-1.43861710228999	48	23
GOCC_MITOCHONDRIAL_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX_CATALYTIC_SECTOR_F_1	0.121153846153846	0.384915865384615	0.50260578532154	1.42149940924236	62	5
GOCC_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX	0.852882703777336	0.93690417343408	-0.0845262823031868	-0.686470102153641	428	47
GOCC_ORGANELLAR_RIBOSOME	0.00204081632653061	0.0384227765180146	0.305733101849607	3.31610932232704	0	91
GOCC_TRANSCRIPTION_EXPORT_COMPLEX	0.969939879759519	0.980657447491668	-0.121852631062423	-0.536357702349869	483	13
GOCC_THO_COMPLEX	0.745967741935484	0.881861090272568	-0.231745778729121	-0.766954230510501	369	7
GOCC_PHAGOPHORE_ASSEMBLY_SITE	0.50501002004008	0.771366279069767	-0.139172251224004	-0.951374047051762	251	33
GOCC_EKC_KEOPS_COMPLEX	0.556451612903226	0.794310804690252	-0.274533468444363	-0.908558534247284	275	7
GOCC_AUTOPHAGOSOME_MEMBRANE	0.953125	0.974969681524185	-0.0842034393436263	-0.594136818636918	487	35
GOCC_TRANSCRIPTION_FACTOR_TFIIH_CORE_COMPLEX	0.538011695906433	0.786390897371223	-0.234454719387755	-0.917730938728305	275	10
GOCC_PROTEASOME_COMPLEX	0.185404339250493	0.497492581859827	0.139100637311105	1.27120528807034	93	62
GOCC_GLYCOSYLPHOSPHATIDYLINOSITOL_N_ACETYLGLUCOSAMINYLTRANSFERASE_GPI_GNT_COMPLEX	0.609406952965235	0.811655548709156	0.250637653435358	0.865032395393194	297	8
GOCC_CHROMOSOME_CENTROMERIC_REGION	0.00591715976331361	0.0722634654872848	0.120866151378594	2.00305650139887	2	215
GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION	0.00204498977505112	0.0384227765180146	0.156698930007085	2.24545543403151	0	163
GOCC_CHROMOSOME_TELOMERIC_REGION	0.67065868263473	0.84993448007033	0.0684818706897505	0.820488484941905	335	109
GOCC_CHROMATIN	0.0118811881188119	0.113403978434653	-0.0718008625338785	-1.88936170588606	5	531
GOCC_NUCLEOSOME	0.883435582822086	0.951546512187244	-0.0825106714311537	-0.658082181134547	431	46
GOCC_EUCHROMATIN	0.363821138211382	0.687293079306502	0.122622476739135	1.06290336616571	178	56
GOCC_HETEROCHROMATIN	0.502901353965184	0.770994934102561	-0.0871469833119383	-0.953379352013646	259	90
GOCC_CONDENSED_CHROMOSOME	0.00201612903225806	0.0384227765180146	0.145953748668051	2.51137290029787	0	233
GOCC_CONDENSED_NUCLEAR_CHROMOSOME	0.0224489795918367	0.154758060796162	0.209794537191742	1.780843089596	10	53
GOCC_CONDENSIN_COMPLEX	0.147239263803681	0.435999761748764	0.387294755300494	1.33668068348403	71	8
GOCC_LATERAL_ELEMENT	0.139059304703476	0.418868368734959	0.346954719387755	1.34075429871789	67	10
GOCC_SEX_CHROMOSOME	0.181286549707602	0.490760925983598	-0.176227357820391	-1.28856089539449	92	37
GOCC_X_CHROMOSOME	0.733466933867735	0.881377952755906	-0.190102411341349	-0.774242845448892	365	11
GOCC_ORIGIN_RECOGNITION_COMPLEX	0.368098159509202	0.68773639802153	0.306093575641639	1.05642889375377	179	8
GOCC_SWR1_COMPLEX	0.569138276553106	0.799764907997649	-0.201995914937467	-0.889123721624177	283	13
GOCC_ESCRT_I_COMPLEX	0.695296523517382	0.866231184322636	0.212484056122449	0.821112657461204	339	10
GOCC_ER_UBIQUITIN_LIGASE_COMPLEX	0.861723446893788	0.938663040366447	-0.214854956965253	-0.66705033121291	429	6
GOCC_SPINDLE_POLE	0.261663286004057	0.592302967302967	0.0899974376510448	1.16732588258939	128	131
GOCC_EQUATORIAL_MICROTUBULE_ORGANIZING_CENTER	0.536538461538462	0.786390897371223	0.31819268467607	0.899931370672366	278	5
GOCC_GAMMA_TUBULIN_COMPLEX	0.578411405295316	0.801709318788864	-0.182176184399426	-0.883273241785835	283	16
GOCC_GAMMA_TUBULIN_RING_COMPLEX	0.72962226640159	0.881377952755906	0.268143661672511	0.810857891665276	366	6
GOCC_P_BODY	0.00198807157057654	0.0384227765180146	-0.251594385065083	-2.5192560173766	0	76
GOCC_GARP_COMPLEX	0.292307692307692	0.615437772095916	0.402358753685553	1.13797482514373	151	5
GOCC_INNER_KINETOCHORE	0.663461538461538	0.845497643025498	0.292230456610089	0.826503461690384	344	5
GOCC_OUTER_KINETOCHORE	0.0135922330097087	0.118300025857929	0.396776030986557	1.80905187528105	6	14
GOCC_PRP19_COMPLEX	0.211650485436893	0.53941908713693	0.266678058783322	1.21588605324454	108	14
GOCC_SAM_COMPLEX	0.442307692307692	0.746700255464093	0.343246473822615	0.970789978971738	229	5
GOCC_PAM_COMPLEX_TIM23_ASSOCIATED_IMPORT_MOTOR	0.995850622406639	0.997168232719784	-0.172013706271416	-0.482730728088029	479	5
GOCC_OUTER_DENSE_FIBER	0.655310621242485	0.843495601365546	-0.268223355647646	-0.832740751020865	326	6
GOCC_MICROFIBRIL	0.0264227642276423	0.166736753574432	0.458385368229928	1.6723341233709	12	9
GOCC_CORNIFIED_ENVELOPE	0.225048923679061	0.543323918644698	0.25060815122029	1.21665320932076	114	16
GOCC_FIBRILLAR_CENTER	0.16260162601626	0.463490616214573	0.100696223220776	1.31054170625208	79	132
GOCC_DENSE_FIBRILLAR_COMPONENT	0.8300395256917	0.926160455052874	0.209475230277016	0.685883279976955	419	7
GOCC_GRANULAR_COMPONENT	0.695564516129032	0.866231184322636	-0.243108768174521	-0.804559631023888	344	7
GOCC_ACROSOMAL_VESICLE	0.496031746031746	0.769341974077767	-0.10574142254949	-0.95740290123896	249	60
GOCC_MALE_GERM_CELL_NUCLEUS	0.048	0.229947643979058	0.193929927405658	1.63326977558109	23	51
GOCC_FEMALE_GERM_CELL_NUCLEUS	0.488752556237219	0.769341974077767	0.252136479591837	0.974343480535116	238	10
GOCC_RUFFLE	0.930612244897959	0.966022589594462	0.0446295094575432	0.584545860960251	455	134
GOCC_SEX_CHROMATIN	0.57314629258517	0.799764907997649	-0.293698863032621	-0.911833390441387	285	6
GOCC_BARR_BODY	0.683366733466934	0.857723677808292	-0.262432260121135	-0.814761402330903	340	6
GOCC_XY_BODY	0.901408450704225	0.957406084115966	-0.126462454796852	-0.649733277965738	447	18
GOCC_PHOTORECEPTOR_OUTER_SEGMENT	0.58102766798419	0.803082048648842	-0.11549744363423	-0.880432916165936	293	41
GOCC_IMMUNOLOGICAL_SYNAPSE	0.534412955465587	0.785189529571552	-0.157219251336898	-0.939070211688755	263	25
GOCC_PHAGOCYTIC_CUP	0.432220039292731	0.741247057036531	0.215679081266449	1.00991922372443	219	15
GOCC_PHOTORECEPTOR_INNER_SEGMENT	0.954724409448819	0.974969681524185	-0.0848966933101158	-0.565229799723483	484	31
GOCC_FEMALE_PRONUCLEUS	0.553606237816764	0.793336397058824	-0.257213454487486	-0.9164788796067	283	8
GOCC_MALE_PRONUCLEUS	0.591182364729459	0.806157770085626	-0.287881202847731	-0.893771567674865	294	6
