pathway	pval	padj	ES	NES	nMoreExtreme	size
GOMF_SINGLE_STRANDED_DNA_ENDODEOXYRIBONUCLEASE_ACTIVITY	0.528225806451613	0.816108721285193	0.221681815765694	0.935967592921612	261	12
GOMF_MANNOSYLTRANSFERASE_ACTIVITY	0.679207920792079	0.874658766067811	0.147040051061114	0.803874777649097	342	20
GOMF_TRNA_BINDING	0.00400801603206413	0.0857306517311609	0.204883587264795	1.973511371838	1	68
GOMF_MICROFILAMENT_MOTOR_ACTIVITY	0.610337972166998	0.845752513559724	-0.18338251714787	-0.873814966520971	306	16
GOMF_SNARE_BINDING	0.0870445344129555	0.397454196116105	-0.127877443079134	-1.44858622999944	42	92
GOMF_RDNA_BINDING	0.0282828282828283	0.255684360382347	0.517334821072766	1.69677012464895	13	7
GOMF_DNA_SECONDARY_STRUCTURE_BINDING	0.582834331337325	0.836969983274389	0.130500758725341	0.904416242270438	291	33
GOMF_PEROXISOME_TARGETING_SEQUENCE_BINDING	0.757637474541752	0.901372675420772	0.280819188779982	0.784287150582623	371	5
GOMF_MAGNESIUM_ION_BINDING	0.0541586073500967	0.344111528776322	0.105454918982449	1.59997057798815	27	169
GOMF_RNA_CAP_BINDING	0.36182902584493	0.725788688361518	-0.226591162864891	-1.07970352066373	181	16
GOMF_RNA_7_METHYLGUANOSINE_CAP_BINDING	0.13682092555332	0.485876423788573	-0.309648966773598	-1.32652724116247	67	13
GOMF_FOUR_WAY_JUNCTION_DNA_BINDING	0.593385214007782	0.844023107992062	-0.179032416986895	-0.880708270726218	304	17
GOMF_Y_FORM_DNA_BINDING	0.279022403258656	0.643778126635269	0.402183440911626	1.12323985499163	136	5
GOMF_BUBBLE_DNA_BINDING	0.426530612244898	0.755504631261819	0.331473807246839	1.00659826502105	208	6
GOMF_INOSITOL_HEXAKISPHOSPHATE_KINASE_ACTIVITY	0.119140625	0.453340174788136	-0.44692381255977	-1.36398070609155	60	6
GOMF_MRNA_REGULATORY_ELEMENT_BINDING_TRANSLATION_REPRESSOR_ACTIVITY	0.571428571428571	0.832692568254183	-0.207810688633589	-0.890254995356545	283	13
GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	0.00199203187250996	0.0638237384506041	-0.190128705538542	-6.32112434493376	0	854
GOMF_RNA_POLYMERASE_II_CORE_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING	0.493150684931507	0.790598242362539	-0.181424642579724	-0.95546439373167	251	19
GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	0.00197628458498024	0.0638237384506041	-0.169532980273275	-5.27111288461144	0	736
GOMF_RNA_POLYMERASE_III_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_ACTIVITY	0.335305719921105	0.699390479876161	0.272082218984874	1.09865267380457	169	11
GOMF_RNA_POLYMERASE_III_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	0.617107942973523	0.84595763535184	0.252610393750996	0.875069521181491	302	8
GOMF_RNA_POLYMERASE_III_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_BINDING	0.438356164383562	0.763862552942636	-0.350784923101442	-0.994053355703835	223	5
GOMF_CORE_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING	0.856866537717602	0.938970108591382	-0.0857568490662015	-0.687667655464649	442	44
GOMF_REGULATORY_REGION_RNA_BINDING	0.0958904109589041	0.412665762177776	-0.511610486891386	-1.44980039852107	48	5
GOMF_RNA_POLYMERASE_II_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_BINDING	0.411067193675889	0.746236536228333	0.166206401149334	1.02007728985823	207	25
GOMF_TFIIB_CLASS_TRANSCRIPTION_FACTOR_BINDING	0.553061224489796	0.826829599764434	0.299516523217511	0.909552447356331	270	6
GOMF_TFIID_CLASS_TRANSCRIPTION_FACTOR_COMPLEX_BINDING	0.164435946462715	0.515105162523901	0.326817602040816	1.28172028172567	85	10
GOMF_BASAL_TRANSCRIPTION_MACHINERY_BINDING	0.442190669371197	0.765859217854508	-0.107606317699162	-0.990340210425578	217	60
GOMF_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	0.392484342379958	0.735460747532192	-0.277439413265306	-1.04492772722185	187	10
GOMF_RNA_POLYMERASE_II_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	0.547945205479452	0.821917808219178	-0.266419575960466	-0.920675813069878	279	8
GOMF_RNA_POLYMERASE_I_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	0.184615384615385	0.533138414003549	0.344138877817634	1.27746568533391	95	9
GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY	0.00389863547758285	0.0857306517311609	-0.114359874147787	-2.41664850716568	1	306
GOMF_DNA_BINDING_TRANSCRIPTION_REPRESSOR_ACTIVITY	0.00201612903225806	0.0638237384506041	-0.158010695999328	-2.86037119896385	0	233
GOMF_TRANSCRIPTION_COREGULATOR_BINDING	0.3	0.677332987002607	-0.0912572109482524	-1.12382984810832	149	107
GOMF_TRANSCRIPTION_COREPRESSOR_BINDING	0.0735009671179884	0.370808249842436	-0.189034227163724	-1.51582905869011	37	44
GOMF_TRANSCRIPTION_COACTIVATOR_BINDING	0.175542406311637	0.528983492845135	-0.167512386127537	-1.2817684665399	88	40
GOMF_LIPOPOLYSACCHARIDE_BINDING	0.266401590457256	0.629151694088929	-0.248614212793109	-1.18464302599399	133	16
