pathway	pval	padj	ES	NES	nMoreExtreme	size
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.00204918032786885	0.00550539528738163	-0.155803811233862	-2.38192167197365	0	172
HALLMARK_HYPOXIA	0.002	0.00550539528738163	0.156286633908039	2.28715388737348	0	158
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.00198807157057654	0.00550539528738163	0.288045436349079	2.69296406155344	0	64
HALLMARK_MITOTIC_SPINDLE	0.298076923076923	0.392206477732794	0.0671229106195576	1.10232228245778	154	194
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.566	0.615217391304348	-0.126342511228276	-0.898467147850909	282	36
HALLMARK_TGF_BETA_SIGNALING	0.256862745098039	0.356753812636166	0.139397132923393	1.17747358813073	130	51
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.036	0.0666666666666667	-0.182450108172546	-1.6677741221502	17	58
HALLMARK_DNA_REPAIR	0.00196463654223969	0.00550539528738163	0.169296432703603	2.38971282928669	0	146
HALLMARK_G2M_CHECKPOINT	0.00193423597678917	0.00550539528738163	0.202721513653517	3.28962867072136	0	191
HALLMARK_APOPTOSIS	0.445134575569358	0.53921568627451	-0.0731602365252723	-1.00016035962171	214	137
HALLMARK_NOTCH_SIGNALING	0.176125244618395	0.266856431239993	0.199576005955494	1.30096772071517	89	31
HALLMARK_ADIPOGENESIS	0.00394477317554241	0.00986193293885602	0.147298593937895	2.35085963979133	1	187
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.0378486055776892	0.0675867956744451	0.118463273901788	1.68190437095517	18	149
HALLMARK_ESTROGEN_RESPONSE_LATE	0.00192307692307692	0.00550539528738163	0.180822284658645	2.53660810908918	0	142
HALLMARK_ANDROGEN_RESPONSE	0.50763358778626	0.576856349757113	0.0869808890754954	0.941983641980006	265	85
HALLMARK_MYOGENESIS	0.00192678227360308	0.00550539528738163	0.2224552974392	2.9757064385128	0	130
HALLMARK_PROTEIN_SECRETION	0.00202839756592292	0.00550539528738163	-0.184617677115471	-2.08455677112629	0	91
