pathway	pval	padj	ES	NES	nMoreExtreme	size
chr1A1	0.0402414486921529	0.158352713684706	-0.47879802327435	-1.66671277044305	19	8
chr1A2	0.0184426229508197	0.107463745271122	-0.464177773912287	-1.89030788825585	8	11
chr1A3	0.609195402298851	0.75616044424612	-0.185543770103942	-0.876905343979683	317	15
chr1A4	0.586337760910816	0.735224870267154	0.317810184078413	0.89230539146804	308	5
chr1A5	0.378269617706237	0.578867142247424	-0.297784154312131	-1.03659712175383	187	8
chr1B	0.619417475728155	0.75616044424612	-0.0982856810363011	-0.870287443573343	318	55
chr1C1	0.0135396518375242	0.0891850979732571	-0.196433424572438	-1.87955985125588	6	66
chr1C2	0.341650671785029	0.536373852595149	-0.155476361603578	-1.07619819400947	177	32
chr1C3	0.357873210633947	0.558946303206628	0.173069133634313	1.07509901534883	174	27
chr1C4	0.0203665987780041	0.113589503280225	0.271031619290961	1.76517521646688	9	30
chr1C5	0.0831683168316832	0.221052631578947	-0.229249088030835	-1.47972140987199	41	29
chr1D	0.0831600831600832	0.221052631578947	0.173056344171712	1.48872286006462	39	53
chr1E2	0.198443579766537	0.395581609666189	-0.180313384662544	-1.21246818410554	101	31
chr1E3	0.252049180327869	0.462503786907786	-0.285990737318171	-1.16466271567496	122	11
chr1E4	0.618	0.75616044424612	0.0922470681942543	0.866837206192206	308	61
chr1F	0.388329979879276	0.580465142106189	-0.295432807269249	-1.02841199994126	192	8
chr1G1	0.0245901639344262	0.122886379235041	-0.458321555666688	-1.86645914717611	11	11
chr1G3	0.215264187866928	0.415446171488402	-0.182848930054296	-1.20446134379343	109	30
chr1H1	0.957894736842105	0.980505443540463	-0.203044067256355	-0.560285767303767	454	5
chr1H2	0.0744466800804829	0.206948110682443	-0.162235443587122	-1.49450274974019	36	62
chr1H3	0.281904761904762	0.47353128920781	-0.132382345884047	-1.13949384791449	147	51
chr1H4	0.0587084148727984	0.190137851460497	-0.23976897689769	-1.57940472513791	29	30
chr1H5	0.764356435643564	0.848351648351648	-0.118254525431895	-0.763290945228493	385	29
chr1H6	0.677227722772277	0.8015625	-0.109867790281072	-0.815727170648806	341	38
chr10A1	0.0415841584158416	0.159493670886076	-0.263005024433891	-1.69760398569781	20	29
chr10A2	0.504854368932039	0.676862273391185	-0.198207449353964	-0.949906778599895	259	16
chr10A3	0.0739299610894942	0.206948110682443	-0.233006774480509	-1.48468205969682	37	28
chr10A4	0.741935483870968	0.830258302583026	0.129494772128661	0.775754060203803	367	25
chr10B1	0.203629032258065	0.400646732299958	-0.222056988654499	-1.24670530034126	100	22
chr10B2	0.154150197628458	0.338835212023618	-0.220158286778399	-1.29811059345662	77	24
chr10B3	0.0412371134020619	0.159493670886076	-0.437961117753864	-1.6055101188165	19	9
chr10B4	0.126705653021442	0.295321637426901	-0.152094814814815	-1.33365829920151	64	54
chr10B5	0.53265306122449	0.695663265306122	0.171868517632041	0.923045256743928	260	20
chr10C1	0.00215982721382289	0.0246501789781972	0.233192709215056	3.75512680143651	0	179
chr10C2	0.191780821917808	0.38494391133937	-0.187953795379538	-1.23808808116455	97	30
chr10D1	0.00403225806451613	0.036996336996337	-0.391869541247135	-2.20009213434501	1	22
chr10D2	0.00198807157057654	0.0246501789781972	-0.338280964559737	-2.62058700866895	0	42
chr10D3	0.112970711297071	0.2738410041841	0.136467624490377	1.35772254813864	53	72
chr11A1	0.00207900207900208	0.0246501789781972	0.217861473942891	2.23890342023731	0	75
chr11A2	0.361963190184049	0.562435110901369	-0.328342574775985	-1.06412181774477	176	7
chr11A3	0.00590551181102362	0.0486486486486487	-0.260878569871376	-2.05640641383399	2	44
chr11A4	0.429435483870968	0.602705573156682	0.17048417132216	1.00603550102571	212	24
chr11B1	0.530075187969925	0.695663265306122	-0.0667374001061573	-0.922417178521761	281	141
chr11B2	0.00200803212851406	0.0246501789781972	0.333372416304705	2.6677819523322	0	45
chr11B3	0.487394957983193	0.662245167125146	0.0853573989959359	0.960615291899293	231	94
chr11B4	0.965163934426229	0.981083844580777	0.0847722451586414	0.538836298378282	470	28
chr11B5	0.310782241014799	0.497021233772768	0.0972567911146794	1.11987908202146	146	99
chr11C	0.0440613026819923	0.160850297742695	-0.155457243601126	-1.62650454148993	22	79
chr11D	0.0126849894291755	0.0873534499327311	0.118482404692082	1.76341198979402	5	154
chr11E1	0.825263157894737	0.896253537068478	0.0730524095254925	0.730901000419652	391	73
chr11E2	0.00210970464135021	0.0246501789781972	0.246542649371926	3.5643438107143	0	148
chr12A1	0.306201550387597	0.495413428462225	-0.118053252309917	-1.10785758356286	157	63
chr12A2	0.878787878787879	0.944229529335912	0.127348686834757	0.66681590600592	434	19
chr12A3	0.00191204588910134	0.0246501789781972	-0.456333957368542	-2.27773353097834	0	17
chr12B1	0.366598778004073	0.563854973275301	-0.34627032196366	-1.05371424310383	179	6
chr12B3	0.0265848670756646	0.126521116678597	-0.53201106695966	-1.72418878063465	12	7
chr12C1	0.00202429149797571	0.0246501789781972	-0.307947666471392	-2.20449867887775	0	36
chr12C2	0.391389432485323	0.580465142106189	-0.156217395933142	-1.02903426655912	199	30
chr12C3	0.690384615384615	0.807670032670033	-0.0944618091874531	-0.812217211636271	358	52
chr12D1	0.120240480961924	0.284848288381743	-0.178352245485057	-1.35189891246501	59	40
chr12D2	0.0689655172413793	0.2	0.245855437665782	1.50624128949032	33	26
chr12E	0.0737051792828685	0.206948110682443	-0.174103419856547	-1.45883864150694	36	49
chr12F1	0.0123456790123457	0.0869939707149009	0.206264065682847	1.93425947404523	5	63
chr12F2	0.643863179074447	0.780362173038229	-0.243802805675116	-0.84868614726031	319	8
chr13A1	0.115384615384615	0.277472527472527	-0.194857183433633	-1.39492014461876	56	36
chr13A2	0.474226804123711	0.650184260857396	-0.267623223063638	-0.981072920040433	229	9
chr13A3	0.364503816793893	0.563493145349743	-0.106422136765832	-1.0739381572242	190	72
chr13A4	0.504	0.676862273391185	-0.215134359301491	-0.947422485144832	251	13
chr13A5	0.584830339321357	0.735224870267154	0.123073700847928	0.899340850482118	292	37
chr13B1	0.0103092783505155	0.0743740795287187	0.230531030070378	1.92528090027188	4	50
chr13B2	0.696907216494845	0.809053205356085	-0.225942163765998	-0.828275423293336	337	9
chr13B3	0.00197628458498024	0.0246501789781972	-0.336576709416364	-2.97029006567751	0	56
chr13C1	0.464566929133858	0.639835361488905	-0.136434904659204	-0.970355788865795	235	35
chr13C3	0.00192307692307692	0.0246501789781972	-0.308879909791393	-2.18868361450439	0	34
chr13D1	0.0251450676982592	0.122886379235041	-0.178163764486634	-1.70474785239107	12	66
chr13D2	0.095427435387674	0.238962916714588	-0.182091858482523	-1.41062492045549	47	42
chr14A1	0.723014256619145	0.823583908855642	-0.177136021872864	-0.802124495369709	354	14
chr14A2	0.191752577319588	0.38494391133937	-0.336406713608786	-1.23322450519512	92	9
chr14A3	0.930769230769231	0.96504815464758	-0.0726560673369184	-0.624723461560456	483	52
chr14B	0.700575815738964	0.810207909041626	-0.0937358973546267	-0.817461652802637	364	53
chr14C1	0.280561122244489	0.47353128920781	0.14584855681403	1.13045245509565	139	42
chr14C2	0.16147859922179	0.349485825458588	-0.193589601584697	-1.30174048440383	82	31
chr14C3	0.792380952380952	0.87305974025974	-0.0860358219909575	-0.740561660274796	415	51
chr14D1	0.992063492063492	0.995348470514033	-0.0643323473765555	-0.511059550089781	499	45
chr14D2	0.235887096774194	0.44119623655914	0.203152434158021	1.19881253079236	116	24
chr14D3	0.0871287128712871	0.227586206896552	-0.194399589577972	-1.44334410272606	43	38
chr14E2	0.282868525896414	0.47353128920781	-0.197596916169639	-1.14024238625511	141	23
chr14E4	0.961089494163424	0.980505443540463	0.141549433584832	0.584116633846791	493	11
chr14E5	0.945833333333333	0.974787414965986	0.128500412047744	0.596873579764059	453	15
chr15A1	0.0861723446893788	0.227045395138102	-0.190465330690229	-1.45281919574383	42	41
chr15B1	0.742574257425743	0.830258302583026	0.223098995695839	0.787469777963539	374	8
chr15B2	0.957230142566191	0.980505443540463	-0.192540643927319	-0.58590877130929	469	6
chr15B3	0.047713717693837	0.170085370132148	-0.201288667640969	-1.55933830949881	23	42
chr15C	0.680244399185336	0.802000206043412	-0.268887472107109	-0.818235179800308	333	6
chr15D1	0.273453093812375	0.473464499572284	-0.159145723977553	-1.15722474065951	136	37
chr15D2	0.708757637474542	0.814474024295684	-0.261847837636808	-0.796813294535826	347	6
chr15D3	0.00204081632653061	0.0246501789781972	0.239968874445004	2.35818816907917	0	70
chr15E1	0.00211416490486258	0.0246501789781972	0.289369812131755	3.33199559496798	0	99
chr15E2	0.0601202404809619	0.190137851460497	0.268023845618994	1.48081742497585	29	21
chr15E3	0.906122448979592	0.950017654120472	0.0840172276303829	0.657353809538056	443	43
chr15F1	0.424430641821946	0.602705573156682	0.105421877558631	1.01197309401349	204	67
chr15F2	0.253384912959381	0.462503786907786	0.3075860236482	1.14742108523707	130	9
chr15F3	0.140316205533597	0.322089471793029	0.234824304326379	1.33556778249419	70	22
chr16A1	0.0326530612244898	0.143448928867322	0.169688844004109	1.66534115009763	15	69
chr16A2	0.889748549323017	0.946388661382345	0.18056773393561	0.673591155975815	459	9
chr16A3	0.00206185567010309	0.0246501789781972	0.259312220089571	2.16564713389403	0	50
chr16B1	0.395669291338583	0.580465142106189	0.144298876284817	1.04530003949853	200	36
chr16B2	0.0311284046692607	0.140774725593821	-0.26939964873064	-1.71657165870284	15	28
chr16B3	0.0219560878243513	0.116713940539973	-0.221356891204755	-1.79676534736147	10	47
chr16B4	0.0947775628626693	0.238962916714588	-0.276616677302702	-1.41158755964177	48	18
chr16B5	0.0134099616858238	0.0891850979732571	-0.408820480102081	-1.93214174493179	6	15
chr16C1	0.161228406909789	0.349485825458588	-0.184849664590321	-1.27951846276536	83	32
chr16C3	0.0234375	0.120365466101695	-0.223277004608038	-1.75072441536854	11	43
chr16C4	0.201596806387226	0.399240734217839	-0.170125386231482	-1.23706312077284	100	37
chr17A1	0.733466933867735	0.830258302583026	0.100950706369504	0.782455283424981	365	42
chr17A2	0.230460921843687	0.436435370741483	-0.282078881624409	-1.18683051615283	114	12
chr17A3	0.0022075055187638	0.0246501789781972	0.143668450761586	2.3346960982817	0	183
chr17B1	0.566990291262136	0.727126521951466	-0.0645632619261327	-0.893652027184528	291	145
chr17B3	0.663306451612903	0.796084413933384	-0.148615906914662	-0.834381480124513	328	22
chr17C	0.00205338809034908	0.0246501789781972	0.242353933769247	2.13512726851585	0	55
chr17D	0.094188376753507	0.238962916714588	0.187153665814152	1.45060277332416	46	42
chr17E1	0.933198380566802	0.96504815464758	-0.085632245122579	-0.613013806550789	460	36
chr17E2	0.395112016293279	0.580465142106189	-0.229915698336751	-1.04112653968432	193	14
chr17E3	0.0928853754940712	0.238510752327996	-0.240392688961609	-1.45060031606123	46	25
chr17E4	0.06640625	0.19921875	-0.223079771438529	-1.5473364181448	33	33
chr18A1	0.0688976377952756	0.2	-0.18943754087639	-1.49326398972218	34	44
chr18A2	0.422090729783037	0.602705573156682	-0.19690130791678	-1.0297528557908	213	19
chr18B1	0.484615384615385	0.661434511434511	-0.137403683518136	-0.973624962827124	251	34
chr18B2	0.5	0.676339285714286	-0.15130243379485	-0.964075012602133	256	28
chr18B3	0.001953125	0.0246501789781972	-0.350437916804513	-3.41114759492274	0	69
chr18C	0.0521042084168337	0.181466381037938	-0.386169138361771	-1.6247842276064	25	12
chr18D1	0.0781563126252505	0.213345610139197	-0.355897517673949	-1.49741814121661	38	12
chr18D3	0.548757170172084	0.710570181889494	-0.187614074105354	-0.93645204476444	286	17
chr18E1	0.890438247011952	0.946388661382345	-0.0795551468628391	-0.655601324566026	446	48
chr18E2	0.455268389662028	0.629891881587189	-0.178705360704882	-0.990985004611376	228	21
chr18E3	0.419354838709677	0.602201498241859	0.172180101090716	1.01604326621107	207	24
chr18E4	0.154320987654321	0.338835212023618	-0.340035076530612	-1.31519373992094	74	10
chr19A	0.00227790432801822	0.0246501789781972	0.194380149986112	3.36424801061466	0	210
chr19B	0.293522267206478	0.483354603062841	-0.157257992934619	-1.1257595864898	144	36
chr19C1	0.00397614314115308	0.036996336996337	-0.273923699914749	-2.12202566673348	1	42
chr19C2	0.710679611650485	0.814474024295684	-0.17040197798692	-0.816649396903044	365	16
chr19C3	0.00427350427350427	0.036996336996337	0.203643826598772	2.20293161751735	1	87
chr19D2	0.577603143418468	0.732275114877806	-0.145986835642008	-0.900736894198125	293	26
chr19D3	0.062	0.190137851460497	-0.350898284396411	-1.54530836317972	30	13
chr2A1	0.0199600798403194	0.113589503280225	-0.225888821408947	-1.8335512594839	9	47
chr2A2	0.303157894736842	0.494237331788037	-0.41464658538529	-1.14418797550566	143	5
chr2A3	0.0336134453781513	0.143448928867322	0.145886410983231	1.64181100782452	15	94
chr2B	0.00210084033613445	0.0246501789781972	0.211346118911063	2.77560786077995	0	124
chr2C1	0.00390625	0.036996336996337	-0.269472631526118	-2.11294627547776	1	43
chr2C2	0.0398406374501992	0.158352713684706	-0.279352423381319	-1.6120164222047	19	23
chr2C3	0.00397614314115308	0.036996336996337	-0.276979813664596	-2.1457006967497	1	42
chr2D	0.96969696969697	0.981083844580777	0.109344362101904	0.572542691203632	479	19
chr2E1	0.0386965376782077	0.156334012219959	0.208211092726742	1.68043492449911	18	46
